Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
ssp119 (medium confidence),5,2030,0.022,888899.6,133330.3,20910.89,734658.02,604.04
ssp119 (medium confidence),5,2040,0.034,904190.01,136402.37,21194.82,746592.53,608.49
ssp119 (medium confidence),5,2050,0.081,964076.82,148435.89,22303.12,793338.13,622.94
ssp119 (medium confidence),5,2060,0.103,992624.33,154167.88,22820.26,815635.93,629.59
ssp119 (medium confidence),5,2070,0.136,1040745.98,163710.26,23599.56,853436.13,637.16
ssp119 (medium confidence),5,2080,0.15,1061152.56,167758.76,23930.47,869464.51,642.6
ssp119 (medium confidence),5,2090,0.174,1096128.74,174698.03,24496.73,896933.49,648.44
ssp119 (medium confidence),5,2100,0.121,1018736.33,159373.03,23244.56,836118.43,632.81
ssp119 (medium confidence),5,2110,0.148,1058235.86,167180.08,23881.78,867174.31,641.49
ssp119 (medium confidence),5,2120,0.155,1068437.5,169204.18,24047.06,875186.79,643.43
ssp119 (medium confidence),5,2130,0.159,1074267.98,170360.95,24142.47,879764.91,644.17
ssp119 (medium confidence),5,2140,0.162,1078639.87,171228.26,24213.12,883198.9,645.46
ssp119 (medium confidence),5,2150,0.164,1081553.93,171806.41,24259.74,885487.73,645.83
ssp119 (medium confidence),17,2020,0.018,883677.43,132306.21,20816.61,730554.1,602.34
ssp119 (medium confidence),17,2030,0.048,922029.66,139987.25,21525.43,760517.68,612.86
ssp119 (medium confidence),17,2040,0.07,950061.67,145619.71,22043.45,782397.76,619.95
ssp119 (medium confidence),17,2050,0.115,1010023.49,157638.14,23103.12,829282.29,631.31
ssp119 (medium confidence),17,2060,0.141,1048034.61,165155.71,23716.89,859161.7,638.68
ssp119 (medium confidence),17,2070,0.185,1112159.04,177878.53,24756.3,909523.91,651.04
ssp119 (medium confidence),17,2080,0.21,1149199.86,185680.74,25341.38,938177.47,654.93
ssp119 (medium confidence),17,2090,0.242,1210439.14,196767.4,26102.1,987569.95,663.56
ssp119 (medium confidence),17,2100,0.22,1164556.91,189145.31,25581.84,949829.11,658.82
ssp119 (medium confidence),17,2110,0.246,1217719.49,198153.1,26196.64,993369.93,664.28
ssp119 (medium confidence),17,2120,0.263,1248651.58,204042.43,26597.38,1018010.93,668.26
ssp119 (medium confidence),17,2130,0.278,1275945.11,209239.74,26951.86,1039754.14,671.8
ssp119 (medium confidence),17,2140,0.29,1297780.48,213396.83,27235.76,1057148.34,675.04
ssp119 (medium confidence),17,2150,0.302,1320095.27,217645.07,27523.45,1074926.0,676.95
