Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Palm_oil.Loss,CropType.Palm_oil.Count,CropType.Palm_oil.Exposed_Value,CropType.Papaya.Loss,CropType.Papaya.Count,CropType.Papaya.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Taro.Loss,CropType.Taro.Count,CropType.Taro.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp119 (medium confidence),5,2030,0.022,1,0.6321,1183,174,32661,628,0,0,0,18,4,1396,1166,1,30637,0.0955,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2030,0.022,5,0.1813,955510,368,17387895,1097,113647,30,7135926,43329,64,85512,798532,18,10165360,2.6793,0.0462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2030,0.022,10,0.0952,1314125,399,23880930,1134,203857,41,11715940,52952,75,100539,1057316,19,12063317,3.5496999999999996,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2030,0.022,25,0.0392,3890315,448,56511076,1221,477510,63,17686885,65301,88,123215,3347502,23,38699755,4.6614,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2030,0.022,50,0.0198,9234662,504,66421031,1297,990103,94,24920237,81463,96,138131,8163096,29,41361366,5.973999999999999,0.0688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2030,0.022,100,0.01,13462801,586,93182458,1401,2072872,137,49074930,102578,111,168324,11287352,36,43937803,8.138,0.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2030,0.022,250,0.004,21609804,762,185295245,1627,5662676,257,117509413,150553,144,225129,15796574,38,67559076,12.131099999999998,0.14079999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2040,0.034,1,0.6321,1751,179,47343,642,0,0,0,21,4,1532,1728,1,45167,0.10250000000000001,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2040,0.034,5,0.1813,971818,374,17820815,1100,117399,33,7458463,44005,66,87748,810415,18,10273504,2.7207,0.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2040,0.034,10,0.0952,1332630,401,24135837,1138,208260,42,11867697,53559,76,102596,1070810,19,12164405,3.5807,0.0529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2040,0.034,25,0.0392,4041212,449,56611595,1223,488786,63,17707881,66133,89,125062,3486292,23,38777428,4.707299999999999,0.0623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2040,0.034,50,0.0198,9345442,508,66599145,1301,1013770,97,25024594,82249,97,140784,8249422,29,41432466,6.0100999999999996,0.06899999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2040,0.034,100,0.01,13574342,588,93585799,1407,2113800,139,49390952,103655,111,169319,11356887,36,44024119,8.229999999999999,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2040,0.034,250,0.004,21793605,765,186343175,1631,5756970,259,118228459,151598,145,226043,15885039,38,67887042,12.2085,0.1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,1,0.6321,3969,181,104428,681,0,0,0,42,4,2070,3928,1,101677,0.12129999999999999,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,5,0.1813,1035684,375,19194620,1111,132098,33,8403661,46632,67,92779,856954,18,10697067,2.8829,0.0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,10,0.0952,1405092,403,25399713,1159,225510,43,12730414,55936,76,108196,1123646,19,12559943,3.6935000000000002,0.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,25,0.0392,4632311,452,57064099,1236,532951,64,17841754,69384,89,129832,4029978,24,39091277,4.887099999999999,0.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,50,0.0198,9779381,511,67118758,1329,1106464,97,25239165,85328,98,151027,8587588,30,41727237,6.142899999999999,0.0699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,100,0.01,14011217,590,95268081,1429,2274099,140,50730780,107886,112,173679,11629235,36,44362192,8.590699999999998,0.0779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2050,0.081,250,0.004,22513473,769,190791123,1651,6126279,262,121390453,155678,145,228641,16231518,38,69170379,12.485700000000001,0.1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,1,0.6321,5016,182,127553,700,0,0,0,50,4,2288,4966,1,124565,0.1298,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,5,0.1813,1066019,375,19772651,1116,139094,33,8785763,47855,67,94735,879069,18,10891037,2.9584999999999995,0.048600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2060,0.103,10,0.0952,1439285,403,25827730,1167,233878,43,12979974,57044,76,110460,1148364,19,12736129,3.7462,0.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
