Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
9,Aitutaki,ssp119 (medium confidence),5,2030,0.022,38458.09,154.11,232.85,38071.35,69.39
9,Aitutaki,ssp119 (medium confidence),5,2040,0.034,38690.33,164.17,236.14,38289.85,70.74
9,Aitutaki,ssp119 (medium confidence),5,2050,0.081,39601.26,203.28,251.43,39146.51,72.77
9,Aitutaki,ssp119 (medium confidence),5,2060,0.103,40025.06,221.79,258.19,39544.92,73.67
9,Aitutaki,ssp119 (medium confidence),5,2070,0.136,40640.42,249.98,271.46,40118.94,74.37
9,Aitutaki,ssp119 (medium confidence),5,2080,0.15,40901.46,262.09,276.97,40362.73,74.83
9,Aitutaki,ssp119 (medium confidence),5,2090,0.174,41348.93,282.82,286.23,40779.89,75.3
9,Aitutaki,ssp119 (medium confidence),5,2100,0.121,40360.74,237.3,265.31,39858.06,74.14
9,Aitutaki,ssp119 (medium confidence),5,2110,0.148,40864.15,260.32,275.89,40327.62,74.6
9,Aitutaki,ssp119 (medium confidence),5,2120,0.155,40994.69,266.41,278.71,40449.52,74.83
9,Aitutaki,ssp119 (medium confidence),5,2130,0.159,41069.23,269.86,280.12,40519.02,74.84
9,Aitutaki,ssp119 (medium confidence),5,2140,0.162,41125.16,272.43,281.53,40571.41,75.06
9,Aitutaki,ssp119 (medium confidence),5,2150,0.164,41162.45,274.18,282.15,40606.15,75.06
9,Aitutaki,ssp119 (medium confidence),17,2020,0.018,38380.62,150.75,231.3,37998.38,69.39
9,Aitutaki,ssp119 (medium confidence),17,2030,0.048,38961.84,175.9,240.96,38545.34,71.42
9,Aitutaki,ssp119 (medium confidence),17,2040,0.07,39388.25,194.09,247.88,38946.03,72.32
9,Aitutaki,ssp119 (medium confidence),17,2050,0.115,40248.54,232.13,262.86,39753.62,73.9
9,Aitutaki,ssp119 (medium confidence),17,2060,0.141,40733.64,254.31,273.49,40206.07,74.6
9,Aitutaki,ssp119 (medium confidence),17,2070,0.185,41554.05,292.04,290.47,40971.47,75.53
9,Aitutaki,ssp119 (medium confidence),17,2080,0.21,42001.67,313.7,300.49,41387.45,75.76
9,Aitutaki,ssp119 (medium confidence),17,2090,0.242,42841.43,341.92,314.55,42185.15,75.79
9,Aitutaki,ssp119 (medium confidence),17,2100,0.22,42313.57,322.47,304.74,41685.94,75.76
9,Aitutaki,ssp119 (medium confidence),17,2110,0.246,42937.33,345.25,316.21,42275.86,75.79
9,Aitutaki,ssp119 (medium confidence),17,2120,0.263,43345.41,360.29,323.82,42661.39,75.79
9,Aitutaki,ssp119 (medium confidence),17,2130,0.278,43705.27,373.48,330.37,43001.69,76.48
9,Aitutaki,ssp119 (medium confidence),17,2140,0.29,43993.26,383.96,335.66,43273.71,76.71
9,Aitutaki,ssp119 (medium confidence),17,2150,0.302,44287.94,394.6,340.72,43552.64,76.72
