Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp245 (medium confidence),50,2020,0.053,2088553.39,494415.5,46487.78,84529.78,1463120.59,1813.74
National,ssp245 (medium confidence),50,2030,0.097,2221917.63,540950.72,49191.42,92063.97,1539711.32,1817.53
National,ssp245 (medium confidence),50,2040,0.144,2381744.84,599613.02,52322.48,101250.81,1628558.53,1904.53
National,ssp245 (medium confidence),50,2050,0.21,2612247.41,685725.63,56792.5,114491.11,1755237.91,1912.92
National,ssp245 (medium confidence),50,2060,0.268,2842761.26,775568.44,61005.28,128001.06,1878186.31,1985.66
National,ssp245 (medium confidence),50,2070,0.341,3147885.19,900952.49,66510.49,146139.01,2034283.45,2069.0
National,ssp245 (medium confidence),50,2080,0.418,3489516.04,1049222.32,72553.61,167191.35,2200549.1,2135.94
National,ssp245 (medium confidence),50,2090,0.498,3867210.1,1223308.06,79049.2,192077.01,2372775.95,2171.23
National,ssp245 (medium confidence),50,2100,0.582,4301541.17,1445645.0,86516.04,221475.62,2547904.58,2286.08
National,ssp245 (medium confidence),50,2110,0.668,4782181.34,1708689.55,94658.99,254861.38,2723971.34,2402.41
National,ssp245 (medium confidence),50,2120,0.748,5288901.2,2006326.8,102346.33,290453.93,2889774.36,2594.72
National,ssp245 (medium confidence),50,2130,0.828,5830065.25,2333608.74,110036.38,328835.39,3057584.71,2624.27
National,ssp245 (medium confidence),50,2140,0.906,6363872.91,2658996.89,117537.46,366523.57,3220815.2,2639.09
National,ssp245 (medium confidence),50,2150,0.982,6961184.86,3049566.64,124962.32,409912.97,3376742.7,2723.13
National,ssp585 (medium confidence),50,2020,0.053,2088553.39,494415.5,46487.78,84529.78,1463120.59,1813.74
National,ssp585 (medium confidence),50,2030,0.104,2244040.33,549168.09,49642.37,93308.8,1551921.11,1820.51
National,ssp585 (medium confidence),50,2040,0.163,2447189.02,623573.95,53595.61,105012.57,1665006.67,1908.36
National,ssp585 (medium confidence),50,2050,0.241,2735996.64,733745.06,59046.98,121772.64,1821431.88,1978.0
National,ssp585 (medium confidence),50,2060,0.323,3069288.1,867667.58,65111.93,141351.78,1995157.0,2048.38
National,ssp585 (medium confidence),50,2070,0.424,3518223.86,1062278.72,73041.83,169085.2,2213818.25,2156.27
National,ssp585 (medium confidence),50,2080,0.535,4057953.19,1320702.5,82328.75,204936.01,2449985.7,2264.47
National,ssp585 (medium confidence),50,2090,0.664,4759305.25,1696031.3,94274.36,253258.4,2715741.23,2402.41
National,ssp585 (medium confidence),50,2100,0.812,5721848.45,2268152.55,108498.62,321160.98,3024036.4,2622.02
National,ssp585 (medium confidence),50,2110,0.921,6481843.5,2736083.29,119002.98,375135.22,3251622.08,2690.73
National,ssp585 (medium confidence),50,2120,1.054,7566833.28,3457439.63,131988.58,454269.39,3523135.94,2802.43
National,ssp585 (medium confidence),50,2130,1.184,8664012.85,4234354.16,137234.39,541099.19,3751325.04,2936.26
National,ssp585 (medium confidence),50,2140,1.306,9903623.08,5142649.56,150452.55,634223.39,3976296.99,3060.54
National,ssp585 (medium confidence),50,2150,1.42,1.140167358E7,6251582.04,174610.72,734717.62,4240762.9,3219.87
