Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp245 (medium confidence),50,2020,0.053,1,0.6321,21,0,2,19,0,0,0,2173328,1341,279,0.31,1215,50265,178363,3005710,61,329,7150,0,0,0,5236452,179907,21,1341,0,0,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2020,0.053,5,0.1813,477,195,198,279,533507,293008,240499,50117462,3479,556,7.01,119536,2040279,2671500,16181748,341,93913,190670,0,0,0,68530159,3418455,343,997,85,703,32,543,17,1042,0,194
National,ssp245 (medium confidence),50,2020,0.053,10,0.0952,671,302,293,378,917361,503579,413782,76505925,3771,603,9.47,190233,2915046,3731528,23205275,422,117757,222932,0,0,0,102849178,4956879,450,871,153,805,41,721,25,547,2,827
National,ssp245 (medium confidence),50,2020,0.053,25,0.0392,1021,546,462,559,1900902,994852,906050,133952107,4353,668,13.77,362713,4792835,5526240,25345245,436,158637,283933,1,0,0,164374120,7948492,610,1032,282,770,94,809,26,668,9,1074
National,ssp245 (medium confidence),50,2020,0.053,50,0.0198,1315,816,618,697,3566283,1670385,1895898,170268629,4668,712,17.86,574383,6669723,6824081,25883690,451,196973,321533,1,0,0,203143574,11161721,660,1030,408,772,184,835,42,729,21,1302
National,ssp245 (medium confidence),50,2020,0.053,100,0.01,1667,1144,789,878,6619394,2813627,3805767,217464243,4964,755,23.64,854672,8871336,8148142,26532776,463,237336,354849,2,0,0,253223204,15859543,711,809,501,978,294,697,123,741,38,1739
National,ssp245 (medium confidence),50,2020,0.053,250,0.004,2165,1661,1072,1093,15713157,6375355,9337801,258704553,5448,812,31.71,1405464,12735233,9755311,26786233,472,300667,427817,2,0,2,298653836,27174599,688,859,565,752,431,785,309,728,172,2324
National,ssp245 (medium confidence),50,2030,0.097,1,0.6321,21,0,2,19,0,0,0,2173328,1341,279,0.32,1462,50665,221433,3255847,67,523,8770,0,0,0,5488609,223419,21,1341,0,0,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2030,0.097,5,0.1813,486,195,201,285,597808,327696,270112,50488162,3483,557,7.12,132936,2063095,2821414,16247023,343,99761,191242,0,0,0,68989522,3651919,337,930,94,663,35,586,19,854,1,450
National,ssp245 (medium confidence),50,2030,0.097,10,0.0952,687,302,303,384,1009748,547656,462092,77810416,3789,605,9.51,209320,2929689,3947591,23205275,422,124863,227411,0,0,0,104172790,5291522,437,802,175,846,46,707,27,553,2,881
