Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,549804.98,8688.72,1889.84,1494.59,537731.28,63.17
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,569130.75,9539.19,2018.52,1546.76,556026.47,63.17
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,590373.3,10545.28,2151.17,1604.78,576071.78,65.08
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,620105.23,11999.9,2334.9,1686.32,604084.39,65.08
9,Aitutaki,ssp245 (medium confidence),50,2060,0.268,646610.01,13437.21,2484.47,1757.86,628930.24,65.14
9,Aitutaki,ssp245 (medium confidence),50,2070,0.341,679017.93,15613.36,2657.85,1844.91,658901.69,65.25
9,Aitutaki,ssp245 (medium confidence),50,2080,0.418,712736.6,18330.7,2826.14,1937.82,689642.18,65.46
9,Aitutaki,ssp245 (medium confidence),50,2090,0.498,749250.78,21564.02,2991.2,2043.32,722652.77,65.6
9,Aitutaki,ssp245 (medium confidence),50,2100,0.582,791279.41,26121.68,3163.87,2158.96,759835.14,66.01
9,Aitutaki,ssp245 (medium confidence),50,2110,0.668,837337.7,32470.75,3335.81,2283.81,799247.26,66.22
9,Aitutaki,ssp245 (medium confidence),50,2120,0.748,882708.98,39228.36,3476.09,2400.63,837603.64,68.25
9,Aitutaki,ssp245 (medium confidence),50,2130,0.828,929279.5,46282.07,3603.69,2517.0,876876.71,70.39
9,Aitutaki,ssp245 (medium confidence),50,2140,0.906,974628.64,53215.61,3728.53,2629.84,915054.74,70.89
9,Aitutaki,ssp245 (medium confidence),50,2150,0.982,1018364.28,60626.52,3850.95,2735.8,951150.65,71.57
9,Aitutaki,ssp585 (medium confidence),50,2020,0.053,549804.98,8688.72,1889.84,1494.59,537731.28,63.17
9,Aitutaki,ssp585 (medium confidence),50,2030,0.104,572251.0,9683.24,2038.65,1555.1,558974.28,63.17
9,Aitutaki,ssp585 (medium confidence),50,2040,0.163,598945.66,10954.79,2204.82,1628.62,584157.68,65.08
9,Aitutaki,ssp585 (medium confidence),50,2050,0.241,634314.12,12768.13,2414.73,1724.82,617406.48,65.14
9,Aitutaki,ssp585 (medium confidence),50,2060,0.323,671147.88,15006.27,2618.1,1823.7,651699.52,65.25
9,Aitutaki,ssp585 (medium confidence),50,2070,0.424,715463.18,18573.36,2838.6,1945.58,692105.49,65.52
9,Aitutaki,ssp585 (medium confidence),50,2080,0.535,767728.76,23555.45,3067.32,2094.0,739012.28,66.01
9,Aitutaki,ssp585 (medium confidence),50,2090,0.664,835074.02,32155.06,3327.77,2277.82,797313.19,66.22
9,Aitutaki,ssp585 (medium confidence),50,2100,0.812,919970.64,44871.34,3578.22,2493.72,869027.17,70.39
9,Aitutaki,ssp585 (medium confidence),50,2110,0.921,983282.33,54678.19,3752.51,2650.83,922200.69,71.16
9,Aitutaki,ssp585 (medium confidence),50,2120,1.054,1059096.13,68148.92,3978.31,2833.0,984135.37,74.27
9,Aitutaki,ssp585 (medium confidence),50,2130,1.184,1133399.94,82676.07,4247.4,3010.28,1043465.99,79.34
9,Aitutaki,ssp585 (medium confidence),50,2140,1.306,1205211.61,97070.76,4549.62,3184.65,1100406.58,81.76
9,Aitutaki,ssp585 (medium confidence),50,2150,1.42,1279462.49,111438.45,4884.48,3386.53,1159753.27,86.53
10,Atiu,ssp245 (medium confidence),50,2020,0.053,11208.78,0.0,10715.24,477.57,15.96,0.0
10,Atiu,ssp245 (medium confidence),50,2030,0.097,11758.05,0.0,11246.94,491.59,19.59,0.0
10,Atiu,ssp245 (medium confidence),50,2040,0.144,12424.08,0.0,11889.61,508.65,25.83,0.0
10,Atiu,ssp245 (medium confidence),50,2050,0.21,13360.74,0.0,12792.49,533.13,35.2,0.0
10,Atiu,ssp245 (medium confidence),50,2060,0.268,14173.01,0.0,13570.07,557.58,45.37,0.0
10,Atiu,ssp245 (medium confidence),50,2070,0.341,15183.64,0.0,14531.15,591.17,61.3,0.0
10,Atiu,ssp245 (medium confidence),50,2080,0.418,16261.6,0.0,15550.89,629.11,81.59,0.0
10,Atiu,ssp245 (medium confidence),50,2090,0.498,17447.23,0.0,16672.86,668.96,105.72,0.0
10,Atiu,ssp245 (medium confidence),50,2100,0.582,19047.04,0.0,18181.24,713.39,152.63,0.0
10,Atiu,ssp245 (medium confidence),50,2110,0.668,20770.63,0.0,19801.38,757.78,211.47,0.0
10,Atiu,ssp245 (medium confidence),50,2120,0.748,22277.44,0.0,21192.8,795.63,289.25,0.0
10,Atiu,ssp245 (medium confidence),50,2130,0.828,23708.45,0.0,22496.44,831.38,380.66,0.0
10,Atiu,ssp245 (medium confidence),50,2140,0.906,25101.7,0.0,23764.0,866.4,471.62,0.0
10,Atiu,ssp245 (medium confidence),50,2150,0.982,26524.61,0.0,24963.55,899.18,661.87,0.0
10,Atiu,ssp585 (medium confidence),50,2020,0.053,11208.78,0.0,10715.24,477.57,15.96,0.0
10,Atiu,ssp585 (medium confidence),50,2030,0.104,11851.86,0.0,11337.9,493.79,20.17,0.0
10,Atiu,ssp585 (medium confidence),50,2040,0.163,12695.62,0.0,12151.45,515.76,28.41,0.0
10,Atiu,ssp585 (medium confidence),50,2050,0.241,13796.38,0.0,13209.05,546.39,40.64,0.0
