Region_ID,Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,1,0.6321,7,0,1,6,0,0,0,196378,89,32,0.19,655,7558,169287,2835807,44,100,1144,0,0,0,3040888,170043,7,89,0,0,0,0,0,0,0,0
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,5,0.1813,17,15,5,12,16484,6442,10042,365845,106,35,0.3,3174,12655,1172204,4452497,69,4106,6864,0,0,0,4837862,1195969,3,7,5,2,4,27,5,70,0,0
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,10,0.0952,21,16,6,15,21491,8171,13321,2214442,106,35,0.31,3364,13055,1244921,4491188,70,4756,7436,0,0,0,6726121,1274532,6,7,4,2,3,8,8,89,0,0
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,25,0.0392,24,17,6,18,29543,10647,18896,2327337,106,35,0.32,3607,13455,1343968,4591430,71,5653,8580,0,0,0,6940803,1382772,7,0,6,7,2,2,8,67,1,30
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,50,0.0198,27,18,8,19,38666,12574,26092,2363413,106,35,0.35,3822,14656,1440536,5070582,78,6320,9152,0,0,0,7457802,1489345,10,0,4,7,4,2,3,37,6,60
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,100,0.01,28,21,8,20,53554,14684,38869,2373773,106,35,0.37,4101,15456,1569719,5708446,85,7446,10296,0,0,0,8107971,1634821,9,0,4,7,5,2,3,8,7,89
9,Aitutaki,ssp245 (medium confidence),50,2020,0.053,250,0.004,29,27,8,21,90755,19316,71439,2384123,106,35,0.43,4528,17857,1763427,5878069,87,8988,11440,0,0,0,8291488,1867698,3,0,9,7,5,0,5,10,7,89
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,1,0.6321,7,0,1,6,0,0,0,196378,89,32,0.19,762,7558,209039,2839801,45,162,1144,0,0,0,3044881,209963,7,89,0,0,0,0,0,0,0,0
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,5,0.1813,18,15,5,13,18189,7206,10983,366270,106,35,0.3,3239,12655,1194839,4452497,69,4399,6864,0,0,0,4838286,1220665,3,7,5,2,4,25,6,72,0,0
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,10,0.0952,21,16,6,15,23324,8992,14332,2214442,106,35,0.31,3432,13055,1264630,4491188,70,5017,7436,0,0,0,6726121,1296404,6,7,4,2,2,8,9,89,0,0
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,25,0.0392,24,17,6,18,32167,11554,20613,2327337,106,35,0.32,3678,13455,1366884,4591430,71,5917,8580,0,0,0,6940803,1408646,7,0,6,7,2,2,7,53,2,44
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,50,0.0198,27,18,8,19,41771,13503,28269,2363413,106,35,0.37,3917,15456,1471098,5070582,78,6569,9152,0,0,0,7458602,1523355,9,0,4,7,4,2,4,32,6,65
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,100,0.01,28,21,8,20,60333,15730,44603,2373773,106,35,0.38,4207,15856,1607237,5781761,86,7746,10296,0,0,0,8181686,1679523,9,0,4,7,4,2,4,8,7,89
9,Aitutaki,ssp245 (medium confidence),50,2030,0.097,250,0.004,29,27,8,21,100000,21254,78746,2384123,106,35,0.43,4653,17857,1799409,5935824,88,9209,11440,0,0,0,8349244,1913271,3,0,9,7,5,0,5,2,7,97
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,1,0.6321,8,0,2,6,0,0,0,209856,97,33,0.2,880,7958,254873,3047204,48,261,1144,0,0,0,3266162,256015,8,97,0,0,0,0,0,0,0,0
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,5,0.1813,18,15,5,13,20111,8079,12031,366270,106,35,0.31,3309,13055,1216673,4452497,69,4681,7436,0,0,0,4839258,1244774,3,7,5,2,2,9,8,88,0,0
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,10,0.0952,21,17,6,15,25455,9953,15503,2214442,106,35,0.32,3507,13455,1287965,4591430,71,5276,8580,0,0,0,6827908,1322204,6,7,4,2,2,0,9,92,0,5
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,25,0.0392,24,18,6,18,35447,12542,22905,2327337,106,35,0.34,3775,14256,1396384,5070582,78,6156,8580,0,0,0,7420754,1441762,7,0,5,7,3,2,5,41,4,56
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,50,0.0198,28,21,8,20,46781,14561,32220,2373773,106,35,0.37,4029,15456,1506394,5271067,80,6831,9724,0,0,0,7670020,1564035,10,0,3,7,5,2,4,23,6,74
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,100,0.01,29,26,8,21,69142,17573,51568,2384123,106,35,0.41,4333,17056,1648334,5878069,87,8010,10296,0,0,0,8289544,1729819,8,0,5,7,5,0,4,10,7,89
9,Aitutaki,ssp245 (medium confidence),50,2040,0.144,250,0.004,29,28,8,21,110332,23523,86809,2384123,121,37,0.44,4798,18257,1834108,5935824,88,9396,12012,0,0,0,8350216,1958634,2,15,10,0,4,7,5,2,8,97
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,1,0.6321,9,3,2,7,7,0,7,225771,97,33,0.2,1041,7958,318807,3047204,48,402,1144,0,0,0,3282078,320257,9,97,0,0,0,0,0,0,0,0
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,5,0.1813,18,17,5,13,22840,9324,13516,366270,106,35,0.31,3410,13055,1246931,4452497,69,5068,7436,0,0,0,4839258,1278248,3,7,4,2,3,8,8,89,0,0
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,10,0.0952,21,17,6,15,28622,11314,17308,2214442,106,35,0.32,3615,13455,1321024,4591430,71,5637,8580,0,0,0,6827908,1358898,4,0,6,7,2,2,9,74,0,23
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,25,0.0392,25,20,6,19,40123,13946,26178,2329270,106,35,0.35,3914,14656,1438872,5070582,78,6487,8580,0,0,0,7423088,1489396,8,0,2,7,6,2,3,29,6,68
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,50,0.0198,28,23,8,20,54747,16258,38489,2373773,106,35,0.38,4192,15856,1557092,5457839,82,7195,10296,0,0,0,7857764,1623226,9,0,4,7,5,2,4,8,6,89
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,100,0.01,29,27,8,21,81880,20311,61569,2384123,106,35,0.41,4513,17056,1705704,5878069,87,8377,10296,0,0,0,8289544,1800474,8,0,5,7,5,0,4,10,7,89
9,Aitutaki,ssp245 (medium confidence),50,2050,0.21,250,0.004,29,29,8,21,124933,26736,98197,2384123,121,37,0.44,5000,18257,1881976,5935824,88,9641,12012,0,0,0,8350216,2021550,2,15,9,0,5,7,3,2,10,97
9,Aitutaki,ssp245 (medium confidence),50,2060,0.268,1,0.6321,9,3,2,7,46,0,46,225771,97,33,0.21,1159,8358,373362,3047204,48,512,1144,0,0,0,3282478,375080,9,71,0,26,0,0,0,0,0,0
