Asset,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed,Number_Damaged,Total_Number,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Water,0,0,0,0,1527428,1597628,44,0,53,53,0,0,0,0,0,0,0,0,0,0,0
School,0,0,0,0,0,0,18,0,32,32,0,0,0,0,0,0,0,0,0,0,0
Airport,0,0,0,0,24752225,30795455,4,0,10,10,0,0,0,0,0,0,0,0,0,0,0
Port,1758922,0,0,1758922,28360903,29690715,531,152,667,515,0,5,219,24,12736,53,251870,70,1494097,0,0
Building,43380349,43221641,0,158708,1208009333,1410912980,13223,12479,18546,6138,38,4162,137526,3453,1456670,3706,13120377,1073,26318412,14,2347326
Road,20631,0,0,20631,97286561,118282143,41125,123,63817,63694,0,77,4315,42,12138,4,4178,0,0,0,0
Evacuation Centre,0,0,0,0,0,0,25,0,44,44,0,0,0,0,0,0,0,0,0,0,0
Health Facility,0,0,0,0,0,0,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0
Telecommunication,72497,72497,0,0,1035000,1150000,16,5,18,13,0,0,0,0,0,2,2460,3,70037,0,0
Bridge,0,0,0,0,1872906,1872906,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0
Power,40995,40995,0,0,5037518,8995068,18,3,33,30,0,0,0,0,0,2,9287,1,31708,0,0
Crop,7718,0,0,7718,6818914,9210241,4890,20,7889,7869,0,8,206,10,4892,2,2620,0,0,0,0
