Region,Aitutaki,Atiu,Mangaia,Manihiki,Mauke,Mitiaro,Motu Tou,Nassau,Palmerston,Penrhyn,Pukapuka,Rakahanga,Rarotonga
Average_Wind_Gusts,112,84,170,18,61,72,92,50,0,7,39,16,154
Max_Wind_Gusts,178,124,260,23,89,93,101,66,0,8,50,20,255
Buildings_Exposed_To_Wind,1686,15,752,0,0,0,0,0,0,0,0,0,10770
Buildings_Exposed_To_Fluvial_Flooding,0,0,0,0,0,0,0,0,0,0,0,0,0
Buildings_Exposed_To_Coastal_Flooding,13,0,0,0,0,0,0,0,0,0,0,0,57
Buildings_Exposed_To_Any_Hazard,1686,15,752,0,0,0,0,0,0,0,0,0,10770
Damaged_Buildings,957,0,752,0,0,0,0,0,0,0,0,0,10770
Exposed_Residential_Buildings,928,4,351,0,0,0,0,0,0,0,0,0,6720
Exposed_Nonresidential_Buildings,758,11,401,0,0,0,0,0,0,0,0,0,4050
Total_Buildings,3564,778,752,623,463,393,3,150,35,369,485,161,10770
Building_Loss,787243,0,4148426,0,0,0,0,0,0,0,0,0,38444681
Residential_Building_Loss,296156,0,675370,0,0,0,0,0,0,0,0,0,21623026
Nonresidential_Building_Loss,491087,0,3473056,0,0,0,0,0,0,0,0,0,16821654
Exposed_Building_Value,60821959,866367,46925149,0,0,0,0,0,0,0,0,0,1099395858
Total_Building_Value,133084814,36742814,46925149,21804201,18172730,10988705,107517,2401391,3759371,18081418,11779748,7669263,1099395858
Population_Exposed_To_Wind,629,0,522,0,0,0,0,0,0,0,0,0,10974
Population_Exposed_To_Fluvial_Flooding,0,0,0,0,0,0,0,0,0,0,0,0,0
Population_Exposed_To_Coastal_Flooding,140,0,12,0,29,0,0,0,0,0,0,0,676
Population_Exposed_To_Any_Hazard,639,0,522,0,29,0,0,0,0,0,0,0,10974
Total_Population,1608,461,522,249,372,181,0,70,78,212,463,89,10974
Exposed_Households,159,0,143,0,3,0,0,0,0,0,0,0,1607
Total_Households,393,95,143,64,94,49,0,8,14,39,50,22,1607
Road_km_Exposed_To_Flooding,0.27,0.09,0.09,0,0,0,0,0,0,0,0,0,0.76
Damaged_Road_km,0.27,0.09,0.09,0,0,0,0,0,0,0,0,0,0.76
Total_Road_km,102.86,52.27,88.43,14.72,40.78,38.83,0,12.42,0.29,8.62,20.82,5.5,245.07
Road_Value_Exposed_To_Flooding,11423,3202,3161,0,0,0,0,0,0,0,0,0,618057
Road_Loss,2135,438,665,0,0,0,0,0,0,0,0,0,17393
Total_Road_Value,25834988,2761438,5195596,1159778,2262085,1730165,0,485436,11181,354103,1369498,499656,76618221
Exposed_Infrastructure_Value,12816236,907527,1667626,0,0,0,0,0,0,0,0,0,47194591
Infrastructure_Loss,1319290,29068,2947,0,0,0,0,0,0,0,0,0,521108
Total_Infrastructure_Value,15091666,1528527,1667626,1605816,1657722,1256328,0,0,0,3022902,1076595,0,47194591
Exposed_Infrastructure,178,13,29,0,0,0,0,0,0,0,0,0,400
Damaged_Infrastructure,73,12,2,0,0,0,0,0,0,0,0,0,73
Total_Infrastructure,199,14,29,51,32,11,0,0,0,45,7,0,400
Exposed_Crop_Value,518449,64060,4219595,0,0,0,0,0,572,0,0,0,2016238
Crop_Loss,2037,1831,2692,0,0,0,0,0,572,0,0,0,586
Total_Crop_Value,727974,1020192,4219595,205348,380837,216777,14872,0,82940,0,164164,161304,2016238
Exposed_Evacuation_Centres,0,0,7,0,0,0,0,0,0,0,0,0,18
Total_Evacuation_Centres,0,10,7,2,7,0,0,0,0,0,0,0,18
Exposed_Health_Facilties,1,0,0,0,0,0,0,0,0,0,0,0,6
Total_Health_Facilties,3,0,0,0,0,0,0,0,0,0,0,0,6
Exposed_Schools,2,0,3,0,0,0,0,0,0,0,0,0,13
Total_Schools,4,2,3,2,1,1,0,1,1,2,1,1,13
Total_Exposed_Value_To_Wind,89142639,2308473,58007966,0,0,0,0,0,0,0,0,0,1225224908
Total_Exposed_Value_To_Fluvial_Flooding,0,0,0,0,0,0,0,0,0,0,0,0,0
Total_Exposed_Value_To_Coastal_Flooding,5029331,107221,19012,0,0,0,0,0,572,0,0,0,13304351
Total_Exposed_Value_To_Any_Hazard,89144608,2322734,58007966,0,0,0,0,0,572,0,0,0,1225224908
Total_Value,174739441,42052971,58007966,24775143,22473374,14191975,122389,2886827,3853492,21458423,14390005,8330222,1225224908
Total_Wind_Loss,778512,0,4149538,0,0,0,0,0,0,0,0,0,38407082
Total_Fluvial_Loss,0,0,0,0,0,0,0,0,0,0,0,0,0
Total_Coastal_Loss,1332193,31337,5192,0,0,0,0,0,572,0,0,0,576685
Total_Loss,2110705,31337,4154730,0,0,0,0,0,572,0,0,0,38983767
Wind_Gusts_kmph.range_<_83.Buildings,0,703,0,623,429,266,0,150,35,369,485,161,0
Wind_Gusts_kmph.range_<_83.Population,0,436,0,249,347,109,0,70,78,212,463,89,0
Wind_Gusts_kmph.range_<_83.Total_Loss,0,204,0,0,0,0,0,0,572,0,0,0,0
Wind_Gusts_kmph.range_83_125.Buildings,2744,75,4,0,34,127,3,0,0,0,0,0,0
Wind_Gusts_kmph.range_83_125.Population,1321,25,11,0,25,72,0,0,0,0,0,0,0
Wind_Gusts_kmph.range_83_125.Total_Loss,31392,31133,438,0,0,0,0,0,0,0,0,0,0
Wind_Gusts_kmph.range_125_164.Buildings,805,0,456,0,0,0,0,0,0,0,0,0,8161
Wind_Gusts_kmph.range_125_164.Population,285,0,337,0,0,0,0,0,0,0,0,0,8705
Wind_Gusts_kmph.range_125_164.Total_Loss,2007100,0,1584724,0,0,0,0,0,0,0,0,0,14173183
Wind_Gusts_kmph.range_164_224.Buildings,15,0,246,0,0,0,0,0,0,0,0,0,2364
Wind_Gusts_kmph.range_164_224.Population,2,0,143,0,0,0,0,0,0,0,0,0,1997
Wind_Gusts_kmph.range_164_224.Total_Loss,72214,0,1701097,0,0,0,0,0,0,0,0,0,20985394
Wind_Gusts_kmph.range_224_280.Buildings,0,0,46,0,0,0,0,0,0,0,0,0,245
Wind_Gusts_kmph.range_224_280.Population,0,0,31,0,0,0,0,0,0,0,0,0,272
Wind_Gusts_kmph.range_224_280.Total_Loss,0,0,868471,0,0,0,0,0,0,0,0,0,3825190
Wind_Gusts_kmph.range_280_+.Buildings,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind_Gusts_kmph.range_280_+.Population,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind_Gusts_kmph.range_280_+.Total_Loss,0,0,0,0,0,0,0,0,0,0,0,0,0
Inundation_Depth.range_<_0_01.Buildings,3551,778,752,623,463,393,3,150,35,369,485,161,10713
Inundation_Depth.range_<_0_01.Population,1468,461,510,249,343,181,0,70,78,212,463,89,10298
Inundation_Depth.range_<_0_01.Total_Loss,745857,0,4149538,0,0,0,0,0,0,0,0,0,38161933
Inundation_Depth.range_0_01_0_5.Buildings,2,0,0,0,0,0,0,0,0,0,0,0,35
Inundation_Depth.range_0_01_0_5.Population,28,0,3,0,0,0,0,0,0,0,0,0,82
Inundation_Depth.range_0_01_0_5.Total_Loss,52630,204,2741,0,0,0,0,0,0,0,0,0,522017
Inundation_Depth.range_0_5_1_0.Buildings,3,0,0,0,0,0,0,0,0,0,0,0,12
Inundation_Depth.range_0_5_1_0.Population,35,0,0,0,29,0,0,0,0,0,0,0,92
Inundation_Depth.range_0_5_1_0.Total_Loss,128373,3417,326,0,0,0,0,0,0,0,0,0,53017
Inundation_Depth.range_1_0_1_5.Buildings,3,0,0,0,0,0,0,0,0,0,0,0,10
Inundation_Depth.range_1_0_1_5.Population,34,0,6,0,0,0,0,0,0,0,0,0,205
Inundation_Depth.range_1_0_1_5.Total_Loss,156563,4132,2125,0,0,0,0,0,572,0,0,0,232019
Inundation_Depth.range_1_5_2_0.Buildings,5,0,0,0,0,0,0,0,0,0,0,0,0
Inundation_Depth.range_1_5_2_0.Population,39,0,0,0,0,0,0,0,0,0,0,0,209
Inundation_Depth.range_1_5_2_0.Total_Loss,1027282,4614,0,0,0,0,0,0,0,0,0,0,14209
Inundation_Depth.range_2_0_+.Buildings,0,0,0,0,0,0,0,0,0,0,0,0,0
Inundation_Depth.range_2_0_+.Population,4,0,3,0,0,0,0,0,0,0,0,0,88
Inundation_Depth.range_2_0_+.Total_Loss,0,18970,0,0,0,0,0,0,0,0,0,0,572
