Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp245 (medium confidence),50,2020,0.06,2.665738188E7,1.274879483E7,0.0,209435.27,1.369915178E7,27107.88
National,ssp245 (medium confidence),50,2030,0.111,2.88375532E7,1.419676746E7,0.0,224544.49,1.441624126E7,27232.28
National,ssp245 (medium confidence),50,2040,0.168,3.152845293E7,1.605124354E7,0.0,242181.7,1.523502773E7,27735.95
National,ssp245 (medium confidence),50,2050,0.244,3.542541929E7,1.878636548E7,0.0,265825.46,1.637322808E7,28246.01
National,ssp245 (medium confidence),50,2060,0.313,3.926032111E7,2.152511295E7,0.0,287465.94,1.744774231E7,28550.77
National,ssp245 (medium confidence),50,2070,0.398,4.449156279E7,2.533528045E7,0.0,314585.27,1.884169709E7,28870.53
National,ssp245 (medium confidence),50,2080,0.488,5.074725494E7,3.000013122E7,0.0,343796.85,2.040332725E7,29376.28
National,ssp245 (medium confidence),50,2090,0.578,5.780599755E7,3.539200988E7,0.0,374186.1,2.203980161E7,29979.81
National,ssp245 (medium confidence),50,2100,0.67,6.598158598E7,4.173746617E7,0.0,406161.78,2.383795854E7,30334.4
National,ssp245 (medium confidence),50,2110,0.764,7.586192238E7,4.956836123E7,0.0,440583.69,2.58529774E7,30681.04
National,ssp245 (medium confidence),50,2120,0.854,8.588872395E7,5.756677994E7,0.0,474279.45,2.784766428E7,30701.05
National,ssp245 (medium confidence),50,2130,0.942,9.657470537E7,6.620065715E7,0.0,508307.99,2.986574023E7,30799.39
National,ssp245 (medium confidence),50,2140,1.03,1.0874705071E8,7.621655589E7,0.0,544032.41,3.198646247E7,30879.66
National,ssp245 (medium confidence),50,2150,1.116,1.2193931279E8,8.720785357E7,0.0,579943.33,3.415151617E7,30989.36
National,ssp585 (medium confidence),50,2020,0.064,2.682375696E7,1.285780388E7,0.0,210620.62,1.375533212E7,27109.0
National,ssp585 (medium confidence),50,2030,0.123,2.940510433E7,1.458718336E7,0.0,228301.74,1.458961924E7,27600.28
National,ssp585 (medium confidence),50,2040,0.191,3.261358667E7,1.679954099E7,0.0,249259.34,1.556478609E7,27810.53
National,ssp585 (medium confidence),50,2050,0.276,3.716186211E7,2.001837451E7,0.0,275880.63,1.686760688E7,28288.54
National,ssp585 (medium confidence),50,2060,0.366,4.252329448E7,2.390086438E7,0.0,304399.32,1.831803044E7,28855.53
National,ssp585 (medium confidence),50,2070,0.474,4.977155682E7,2.927225841E7,0.0,339248.59,2.016004954E7,29372.22
National,ssp585 (medium confidence),50,2080,0.598,5.940163668E7,3.661457085E7,0.0,380979.67,2.240608624E7,29984.41
National,ssp585 (medium confidence),50,2090,0.739,7.307371592E7,4.734657846E7,0.0,431196.55,2.529594092E7,30669.02
National,ssp585 (medium confidence),50,2100,0.904,9.154154283E7,6.208779345E7,0.0,493026.57,2.896072281E7,30701.34
National,ssp585 (medium confidence),50,2110,1.016,1.0665207378E8,7.447198317E7,0.0,538166.26,3.164192432E7,30856.69
National,ssp585 (medium confidence),50,2120,1.161,1.2955485305E8,9.358782546E7,0.0,599341.26,3.536768626E7,31033.83
National,ssp585 (medium confidence),50,2130,1.299,1.5469220555E8,1.1491356373E8,0.0,659736.98,3.911890507E7,31099.17
National,ssp585 (medium confidence),50,2140,1.43,1.8191870835E8,1.3844064953E8,0.0,718138.91,4.275991991E7,31193.27
National,ssp585 (medium confidence),50,2150,1.554,2.1016313553E8,1.6323538739E8,0.0,773435.77,4.615431237E7,31286.25
