Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp245 (medium confidence),50,2020,0.06,1,0.6321,333,149,188,145,246677,117885,128792,69738330,33579,0,20.44,24260,275159,3061992,105474208,4810,0,0,0,0,2,175487697,3332929,249,6802,84,26777,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2020,0.06,5,0.1813,5670,4115,4295,1375,27124310,15557615,11566695,1237805827,47933,0,127.06,458722,4011475,30216847,551667130,20624,0,0,0,0,46,1793484433,57799879,2064,1887,2253,4506,1097,9909,189,16043,67,15588
National,ssp245 (medium confidence),50,2020,0.06,10,0.0952,5949,4546,4492,1457,32464125,18675438,13788687,1286642061,48113,0,135.31,524203,4316288,32945587,567368287,21278,0,0,0,0,46,1858326636,65933915,2004,1274,2260,4480,1338,8646,267,16482,80,17231
National,ssp245 (medium confidence),50,2020,0.06,25,0.0392,6235,5040,4701,1534,40093898,23165826,16928071,1336622197,48226,0,143.39,605222,4597137,36260484,578359384,21899,0,0,0,0,47,1919578718,76959604,1798,1001,2294,3497,1679,8630,347,13826,117,21272
National,ssp245 (medium confidence),50,2020,0.06,50,0.0198,6400,5363,4815,1585,46837369,27248556,19588814,1364662588,48516,0,148.38,661193,4788718,38550011,582753373,22234,0,0,0,0,51,1952204679,86048574,1585,1139,2267,2733,1969,8004,435,13113,144,23527
National,ssp245 (medium confidence),50,2020,0.06,100,0.01,6552,5643,4898,1654,54994546,32374208,22620338,1391085331,48643,0,153.02,714969,4920665,40756585,588272803,22489,0,0,0,0,52,1984278799,96466099,1394,1058,2136,2211,2248,6620,602,12416,172,26338
National,ssp245 (medium confidence),50,2020,0.06,250,0.004,6687,5925,4988,1699,67896326,40641093,27255232,1418191155,48914,0,157.77,779997,5059887,43522117,593312765,22796,0,0,0,0,52,2016563808,112198439,1171,935,2023,2128,2274,5548,996,9916,223,30387
National,ssp245 (medium confidence),50,2030,0.111,1,0.6321,358,185,203,155,308323,150611,157711,76718374,34057,0,21.47,27770,304573,3577149,107923733,4920,0,0,0,0,2,184946680,3913242,249,5804,109,28253,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2030,0.111,5,0.1813,5736,4560,4344,1392,30277496,17437404,12840092,1247410813,47977,0,129.18,493356,4085683,31672451,556733125,20806,0,0,0,0,46,1808229621,62443303,1965,1623,2213,4515,1245,9398,238,15941,75,16500
National,ssp245 (medium confidence),50,2030,0.111,10,0.0952,6015,4967,4535,1480,36134882,20858012,15276869,1302611613,48129,0,137.33,560335,4383369,34419992,570726861,21419,0,0,0,0,46,1877721843,71115209,1884,1066,2211,3897,1510,8598,318,16072,92,18496
National,ssp245 (medium confidence),50,2030,0.111,25,0.0392,6294,5426,4742,1552,44478689,25798849,18679840,1350391576,48306,0,144.94,641925,4656558,37802787,579795757,21996,0,0,0,0,49,1934843891,82923401,1617,969,2288,2899,1835,8106,419,13429,135,22903
National,ssp245 (medium confidence),50,2030,0.111,50,0.0198,6455,5702,4848,1607,51766601,30229436,21537165,1375587763,48516,0,149.96,697867,4845477,40126576,584360374,22308,0,0,0,0,51,1964793614,92591043,1431,1031,2222,2400,2107,7193,534,12747,161,25145
National,ssp245 (medium confidence),50,2030,0.111,100,0.01,6598,5937,4932,1666,60522782,35735804,24786978,1400386281,48724,0,154.48,751163,4973886,42373393,589251687,22569,0,0,0,0,52,1994611854,103647339,1254,845,2088,2399,2315,6169,747,10881,194,28430
