Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,39438.39,37014.27,0.0,107.61,2316.23,690.77
1,Ailinglaplap,ssp245 (medium confidence),50,2030,0.111,42941.51,40433.63,0.0,126.33,2381.49,690.82
1,Ailinglaplap,ssp245 (medium confidence),50,2040,0.168,47619.35,45013.33,0.0,149.7,2456.07,700.28
1,Ailinglaplap,ssp245 (medium confidence),50,2050,0.244,54765.19,52011.8,0.0,183.29,2570.15,706.42
1,Ailinglaplap,ssp245 (medium confidence),50,2060,0.313,62016.66,59115.55,0.0,216.38,2685.23,706.92
1,Ailinglaplap,ssp245 (medium confidence),50,2070,0.398,71824.04,68721.15,0.0,263.24,2839.67,708.4
1,Ailinglaplap,ssp245 (medium confidence),50,2080,0.488,83283.99,79951.55,0.0,325.61,3006.53,721.81
1,Ailinglaplap,ssp245 (medium confidence),50,2090,0.578,95521.68,91958.56,0.0,396.41,3166.71,734.15
1,Ailinglaplap,ssp245 (medium confidence),50,2100,0.67,109791.48,105993.74,0.0,477.27,3320.47,735.05
1,Ailinglaplap,ssp245 (medium confidence),50,2110,0.764,125998.66,121963.31,0.0,577.03,3458.54,745.35
1,Ailinglaplap,ssp245 (medium confidence),50,2120,0.854,142010.47,137747.74,0.0,679.84,3582.89,745.83
1,Ailinglaplap,ssp245 (medium confidence),50,2130,0.942,158694.28,154203.52,0.0,786.84,3703.66,747.27
1,Ailinglaplap,ssp245 (medium confidence),50,2140,1.03,177076.93,172346.43,0.0,903.44,3827.1,752.2
1,Ailinglaplap,ssp245 (medium confidence),50,2150,1.116,196711.67,191734.9,0.0,1022.03,3954.66,761.44
1,Ailinglaplap,ssp585 (medium confidence),50,2020,0.064,39698.51,37267.77,0.0,108.92,2321.56,690.77
1,Ailinglaplap,ssp585 (medium confidence),50,2030,0.123,43925.98,41398.04,0.0,130.93,2397.28,694.74
1,Ailinglaplap,ssp585 (medium confidence),50,2040,0.191,49507.0,46861.55,0.0,159.0,2486.45,700.28
1,Ailinglaplap,ssp585 (medium confidence),50,2050,0.276,58052.25,55231.48,0.0,198.14,2622.29,706.42
1,Ailinglaplap,ssp585 (medium confidence),50,2060,0.366,68132.11,65104.84,0.0,245.62,2781.36,708.4
1,Ailinglaplap,ssp585 (medium confidence),50,2070,0.474,81497.33,78200.86,0.0,315.91,2980.64,721.81
1,Ailinglaplap,ssp585 (medium confidence),50,2080,0.598,98266.98,94652.49,0.0,412.66,3202.09,734.15
1,Ailinglaplap,ssp585 (medium confidence),50,2090,0.739,121550.92,117578.47,0.0,548.56,3423.77,745.27
1,Ailinglaplap,ssp585 (medium confidence),50,2100,0.904,151003.0,146614.14,0.0,736.64,3651.91,745.83
1,Ailinglaplap,ssp585 (medium confidence),50,2110,1.016,173976.2,169285.65,0.0,884.08,3806.5,749.99
