Region_ID,Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,1,0.6321,6,3,0,6,1346,0,1346,329990,1022,0,0.49,0,0,1824,11968,368,0,0,0,0,0,341958,3170,3,255,3,767,0,0,0,0,0,0
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,5,0.1813,44,18,0,44,80942,0,80942,2397183,1129,0,1.36,214,2933,4531,17870,587,0,0,0,0,2,2417986,85688,26,15,7,51,7,258,1,471,3,334
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,10,0.0952,49,25,0,49,92691,0,92691,2495767,1129,0,1.49,292,3209,4717,18635,614,0,0,0,0,2,2517611,97700,31,15,7,44,6,228,2,474,3,368
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,25,0.0392,52,30,0,52,110666,0,110666,2562811,1143,0,1.66,383,3698,4995,21373,717,0,0,0,0,2,2587882,116044,31,21,6,22,8,127,4,533,3,440
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,50,0.0198,52,31,0,52,127169,0,127169,2562811,1150,0,1.72,447,4187,5271,21800,734,0,0,0,0,2,2588798,132887,27,28,10,22,7,92,5,512,3,496
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,100,0.01,53,39,0,53,146510,0,146510,2786964,1157,0,1.88,517,5653,5675,21800,734,0,0,0,0,2,2814417,152702,24,35,12,15,8,44,6,488,3,575
1,Ailinglaplap,ssp245 (medium confidence),50,2020,0.06,250,0.004,54,45,0,54,172872,0,172872,2886046,1157,0,2.03,624,6142,6215,21800,734,0,0,0,0,2,2913988,179712,23,28,13,22,8,44,6,287,4,776
1,Ailinglaplap,ssp245 (medium confidence),50,2030,0.111,1,0.6321,7,3,0,7,1803,0,1803,362642,1022,0,0.56,0,0,1915,12008,370,0,0,0,0,0,374650,3718,4,255,3,767,0,0,0,0,0,0
1,Ailinglaplap,ssp245 (medium confidence),50,2030,0.111,5,0.1813,46,26,0,46,87937,0,87937,2455094,1129,0,1.41,257,3209,4631,17978,590,0,0,0,0,2,2476281,92825,28,15,7,51,7,258,1,444,3,361
1,Ailinglaplap,ssp245 (medium confidence),50,2030,0.111,10,0.0952,50,30,0,50,101416,0,101416,2515971,1129,0,1.53,338,3698,4819,18873,623,0,0,0,0,2,2538542,106574,32,15,7,44,5,132,3,563,3,375
1,Ailinglaplap,ssp245 (medium confidence),50,2030,0.111,25,0.0392,52,36,0,52,121585,0,121585,2562811,1143,0,1.7,437,4187,5143,21571,725,0,0,0,0,2,2588569,127165,27,21,10,22,7,92,5,547,3,461
1,Ailinglaplap,ssp245 (medium confidence),50,2030,0.111,50,0.0198,52,40,0,52,139862,0,139862,2562811,1150,0,1.75,502,4187,5442,21800,734,0,0,0,0,2,2588798,145806,23,28,12,15,8,44,6,521,3,542
