Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp245 (medium confidence),50,2020,0.078,1.955556388E7,1.285619172E7,56956.6,2097037.43,4545378.12,24240.64
National,ssp245 (medium confidence),50,2030,0.138,2.14762428E7,1.435232244E7,60250.36,2264911.6,4798758.4,24951.86
National,ssp245 (medium confidence),50,2040,0.202,2.361364751E7,1.604001765E7,63877.29,2446297.03,5063455.78,25088.85
National,ssp245 (medium confidence),50,2050,0.285,2.670462607E7,1.855890844E7,68815.81,2688533.41,5388368.65,25771.7
National,ssp245 (medium confidence),50,2060,0.358,2.969032834E7,2.10424518E7,73423.55,2907699.08,5666754.13,26542.24
National,ssp245 (medium confidence),50,2070,0.445,3.354630216E7,2.429977496E7,78936.82,3175569.79,5992020.72,27321.66
National,ssp245 (medium confidence),50,2080,0.54,3.818430021E7,2.828594045E7,84880.12,3477045.76,6336434.03,28080.95
National,ssp245 (medium confidence),50,2090,0.636,4.337734052E7,3.282283775E7,91049.79,3791026.16,6672427.08,28702.76
National,ssp245 (medium confidence),50,2100,0.746,5.021968993E7,3.890813938E7,98694.66,4165355.87,7047500.06,29983.78
National,ssp245 (medium confidence),50,2110,0.848,5.718260033E7,4.51615639E7,106079.45,4523470.55,7391486.22,30204.52
National,ssp245 (medium confidence),50,2120,0.945,6.433365064E7,5.163796427E7,113020.75,4872973.34,7709692.04,30693.22
National,ssp245 (medium confidence),50,2130,1.042,7.243696382E7,5.906435192E7,120174.22,5242698.85,8009739.14,31301.08
National,ssp245 (medium confidence),50,2140,1.137,8.113330245E7,6.709050898E7,127855.68,5625289.23,8289648.84,31889.6
National,ssp245 (medium confidence),50,2150,1.23,9.040976242E7,7.569596684E7,135846.34,6020578.09,8557371.43,32419.89
National,ssp585 (medium confidence),50,2020,0.08,1.961522253E7,1.290154964E7,57060.52,2102525.61,4554086.41,24240.64
National,ssp585 (medium confidence),50,2030,0.146,2.174248443E7,1.456225787E7,60702.68,2287599.59,4831924.1,24986.79
National,ssp585 (medium confidence),50,2040,0.217,2.417184745E7,1.649523872E7,64769.79,2489831.33,5122007.52,25442.15
National,ssp585 (medium confidence),50,2050,0.313,2.780612602E7,1.946875318E7,70537.65,2771072.6,5495762.09,26047.17
National,ssp585 (medium confidence),50,2060,0.408,3.18197188E7,2.282919918E7,76614.29,3059334.46,5854571.21,26716.14
National,ssp585 (medium confidence),50,2070,0.522,3.725091863E7,2.747586209E7,83756.14,3418669.71,6272630.77,27930.93
National,ssp585 (medium confidence),50,2080,0.646,4.395604786E7,3.333301428E7,91724.66,3824416.76,6706892.46,28797.53
National,ssp585 (medium confidence),50,2090,0.796,5.363311918E7,4.197354376E7,102315.72,4341018.59,7216241.43,30103.41
National,ssp585 (medium confidence),50,2100,0.964,6.585455069E7,5.302639122E7,114364.23,4943782.84,7770012.22,30721.69
National,ssp585 (medium confidence),50,2110,1.086,7.631459693E7,6.263385935E7,123599.24,5415935.02,8141203.6,31366.1
National,ssp585 (medium confidence),50,2120,1.235,9.093855737E7,7.618779307E7,136279.68,6042677.63,8571807.08,32459.74
National,ssp585 (medium confidence),50,2130,1.378,1.068248544E8,9.098100925E7,148729.85,6690950.09,9004165.37,33283.83
National,ssp585 (medium confidence),50,2140,1.515,1.2391156275E8,1.0690974815E8,161037.25,7354544.93,9486231.93,34181.77
National,ssp585 (medium confidence),50,2150,1.644,1.4161705637E8,1.2340843358E8,172803.88,8018595.48,1.001722319E7,35068.7
