Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp245 (medium confidence),50,2020,0.078,1,0.6321,473,149,238,235,24254,10690,13564,30284071,20836,1158,1.95,14713,453995,266598,2344139,53,1767,26080,0,0,0,33108285,307333,439,10215,34,10621,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2020,0.078,5,0.1813,10925,8307,6559,4366,18329900,8861370,9468530,762658322,46871,2244,142.73,4107238,53572369,9207893,51180948,796,122612,192992,0,0,61,867604631,31767642,3490,6370,4090,7403,2535,8953,663,7859,147,16286
National,ssp245 (medium confidence),50,2020,0.078,10,0.0952,12115,9606,7313,4802,28947750,14023787,14923963,823043621,48529,2317,160.55,5417568,61547997,12218169,53686599,865,142123,213856,0,0,71,938492073,46725611,3308,5554,3900,6754,3276,8114,1312,8387,319,19720
National,ssp245 (medium confidence),50,2020,0.078,25,0.0392,13720,11299,8329,5391,52993652,26287400,26706252,910634957,50904,2417,184.81,7401381,73610338,15476511,53704981,867,170542,250368,0,0,79,1038200644,76042086,3193,4819,3482,5756,3517,7831,2572,7206,956,25292
National,ssp245 (medium confidence),50,2020,0.078,50,0.0198,15132,12880,9244,5888,88117390,44462294,43655095,995335730,52721,2499,205.75,9398347,83976180,17703634,53787239,869,205171,286880,0,0,82,1133386029,115424541,3039,4086,3261,5679,3473,6306,3030,7126,2329,29524
National,ssp245 (medium confidence),50,2020,0.078,100,0.01,16720,14585,10197,6523,141141363,73140461,68000903,1075070921,54347,2591,231.22,11653886,95365403,19466332,53787239,869,254357,349472,0,0,87,1224573036,172515938,2802,3692,3171,4651,3336,5810,3110,6832,4301,33362
National,ssp245 (medium confidence),50,2020,0.078,250,0.004,18026,15979,10995,7031,210562033,111857820,98704213,1141270648,56508,2681,251.14,13985892,105235809,21372229,53787239,869,301562,391200,0,0,96,1300684896,246221716,2684,4127,2925,4077,3199,4847,3193,6212,6025,37245
National,ssp245 (medium confidence),50,2030,0.138,1,0.6321,567,214,295,272,44470,19421,25049,35614556,22344,1226,2.71,18784,565841,318827,2772261,62,3024,31296,0,0,0,38983955,385105,466,6261,101,16083,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2030,0.138,5,0.1813,11436,9001,6881,4555,20877715,10116682,10761033,787851069,47829,2286,151.53,4504499,57580533,9863940,52024426,819,129632,203424,0,0,65,897659452,35375786,3549,6464,4075,7133,2849,8664,763,7497,200,18071
National,ssp245 (medium confidence),50,2030,0.138,10,0.0952,12624,10231,7632,4992,32619167,15857109,16762058,850761997,49525,2357,169.0,5833031,65853541,12772209,53704981,867,149627,229504,0,0,73,970550024,51374034,3366,5933,3874,6254,3452,8398,1538,8212,394,20728
