Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2020,0.078,1589112.57,1224455.36,6078.77,355944.33,2633.77,3422.22
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2030,0.138,1763152.23,1364911.51,6390.49,388805.33,3044.96,3505.24
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2040,0.202,1958344.39,1523832.37,6682.77,424361.88,3467.38,3517.72
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2050,0.285,2249859.72,1767485.99,6900.91,471618.39,3854.56,3632.89
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2060,0.358,2532791.6,2008215.38,7106.64,513351.51,4118.18,3733.14
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2070,0.445,2897938.24,2323183.78,7310.21,563037.49,4406.88,3829.5
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2080,0.54,3335528.85,2706180.21,7507.15,617124.38,4717.12,3915.17
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2090,0.636,3824671.01,3140096.04,7824.39,671729.22,5021.02,4014.8
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2100,0.746,4474450.77,3726415.0,8381.49,734325.76,5328.6,4179.34
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2110,0.848,5140887.98,4333772.53,8928.54,792612.86,5574.09,4189.67
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2120,0.945,5823802.24,4960304.03,9592.6,848105.46,5800.08,4242.74
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2130,1.042,6598204.23,5676280.38,10604.49,905302.2,6017.15,4304.63
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2140,1.137,7434210.74,6451509.29,11932.56,964539.51,6229.56,4399.06
40696546B28890300568151,A'ana,ssp245 (medium confidence),50,2150,1.23,8334669.59,7288667.42,13433.48,1026131.19,6437.52,4472.86
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2020,0.08,1594450.89,1228696.72,6091.3,357014.84,2648.41,3422.22
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2030,0.146,1787433.64,1384659.97,6427.47,393248.21,3098.24,3505.45
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2040,0.217,2010983.18,1567866.0,6722.2,432857.58,3537.33,3597.75
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2050,0.313,2354021.61,1855606.51,6976.45,487470.8,3967.86,3664.63
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2060,0.408,2734716.25,2181323.02,7241.56,541867.02,4284.65,3752.15
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2070,0.522,3247711.35,2628724.82,7464.22,606862.76,4659.3,3901.76
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2080,0.646,3879267.98,3188910.55,7872.94,677432.46,5051.83,4023.49
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2090,0.796,4801169.38,4024139.2,8649.44,762931.77,5449.09,4189.44
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2100,0.964,5968810.98,5094105.44,9755.21,859107.85,5842.71,4244.05
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2110,1.086,6969921.45,6020586.92,11171.23,932047.8,6115.52,4328.38
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2120,1.235,8386544.74,7336994.27,13519.17,1029582.9,6448.64,4483.95
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2130,1.378,9941215.61,8787286.94,15867.48,1131082.05,6979.1,4599.83
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2140,1.515,1.161120275E7,1.035023188E7,18560.62,1234703.08,7707.17,4747.8
40696546B28890300568151,A'ana,ssp585 (medium confidence),50,2150,1.644,1.335429044E7,1.198712708E7,21356.18,1337331.98,8475.79,4895.78
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2020,0.078,1424613.63,817505.25,4257.25,496505.51,106345.97,1689.11
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2030,0.138,1551471.31,913122.64,4682.39,524133.52,109533.04,1757.1
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2040,0.202,1691289.8,1021086.6,5183.77,552084.27,112935.17,1757.16
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2050,0.285,1889006.38,1180634.39,5917.96,585244.83,117209.12,1795.97
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2060,0.358,2077980.6,1337049.64,6435.68,613514.91,120979.97,1853.74
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2070,0.445,2321788.35,1543108.66,6898.16,646359.66,125421.86,1898.55
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2080,0.54,2617487.4,1798916.33,7281.73,681255.45,130034.38,1910.59
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2090,0.636,2953864.52,2096164.58,7652.18,715701.46,134346.3,1923.2
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2100,0.746,3402345.67,2500478.22,8051.88,754746.88,139068.71,1952.03
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2110,0.848,3859663.33,2916322.26,8419.79,791383.89,143537.19,1954.55
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2120,0.945,4329018.69,3344116.69,8727.45,827784.75,148390.01,1995.51
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2130,1.042,4865857.43,3833827.74,9023.04,868259.83,154746.8,2029.03
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2140,1.137,5453288.65,4369196.75,9415.31,912314.56,162361.93,2043.8
40696546B49290330070787,Aiga-i-le-Tai,ssp245 (medium confidence),50,2150,1.23,6087131.31,4947506.54,9866.76,958927.28,170830.56,2082.13
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2020,0.08,1428622.33,820396.24,4268.91,497504.53,106452.69,1689.11
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2030,0.146,1568904.63,926557.46,4744.93,527637.3,109965.2,1757.1
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2040,0.217,1727008.07,1049920.46,5316.58,558072.6,113698.23,1776.7
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2050,0.313,1959064.53,1238063.92,6136.81,596210.22,118653.58,1816.04
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2060,0.408,2212547.62,1449644.78,6747.27,632607.45,123548.35,1881.82
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2070,0.522,2557479.78,1746322.79,7210.0,674739.44,129207.57,1908.5
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2080,0.646,2991748.12,2130036.0,7688.57,719248.99,134774.83,1923.77
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2090,0.796,3626504.49,2704323.34,8232.35,772736.9,141212.14,1952.75
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2100,0.964,4428823.02,3435230.11,8778.27,835316.79,149497.82,1995.57
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2110,1.086,5125747.15,4070549.57,9178.81,887950.57,158068.21,2038.05
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2120,1.235,6123293.06,4980515.03,9889.04,961559.78,171329.57,2082.41
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2130,1.378,7199690.96,5963336.02,10489.1,1039853.13,186012.47,2097.32
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2140,1.515,8321564.35,6990114.62,11159.9,1121021.67,199268.39,2117.37
40696546B49290330070787,Aiga-i-le-Tai,ssp585 (medium confidence),50,2150,1.644,9451322.46,8031173.15,12001.3,1198350.09,209797.65,2164.94
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2020,0.078,1455174.08,882861.69,9646.39,241917.14,320748.5,3120.6
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2030,0.138,1596726.55,991975.59,10230.65,265622.65,328897.12,3182.52
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2040,0.202,1754795.22,1114919.12,10888.14,291714.0,337273.71,3186.92
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2050,0.285,1984310.41,1297026.77,11634.53,327770.49,347878.87,3209.28
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2060,0.358,2207374.9,1476405.25,12172.26,360872.68,357924.82,3273.11
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2070,0.445,2497100.75,1712351.62,12731.7,401512.37,370504.6,3297.8
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2080,0.54,2849561.73,2004000.77,13359.04,447237.3,384964.71,3383.75
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2090,0.636,3251780.45,2342365.62,14178.65,494592.69,400643.08,3460.72
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2100,0.746,3792551.72,2806891.94,15169.79,550496.67,419993.05,3635.92
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2110,0.848,4347444.66,3288939.45,15905.43,603711.93,438888.22,3656.26
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2120,0.945,4917818.9,3789123.2,16468.51,654967.75,457259.64,3718.8
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2130,1.042,5571019.62,4370220.2,16957.57,707833.62,476008.3,3796.1
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2140,1.137,6287935.53,5014791.82,17594.62,761675.18,493873.71,3843.38
40696546B98945941781197,Atua,ssp245 (medium confidence),50,2150,1.23,7070320.83,5724191.47,18387.07,816821.71,510920.61,3892.88
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2020,0.08,1459543.99,886175.32,9664.16,242667.65,321036.66,3120.6
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2030,0.146,1616413.76,1007273.4,10313.22,268882.34,329945.08,3182.65
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2040,0.217,1796236.25,1147830.25,11022.78,298192.71,339190.49,3201.17
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2050,0.313,2066141.53,1362766.76,11859.49,340187.52,351328.02,3233.3
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2060,0.408,2366956.95,1605558.31,12510.93,383886.35,365001.63,3275.1
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2070,0.522,2777735.65,1944195.24,13224.51,438400.29,381916.0,3371.76
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2080,0.646,3297234.1,2380980.11,14281.63,499590.51,402381.85,3467.71
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2090,0.796,4064673.67,3043189.66,15530.36,576593.14,429360.28,3653.55
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2100,0.964,5039268.78,3896550.7,16549.53,665174.92,460993.54,3718.93
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2110,1.086,5887077.7,4653205.13,17229.2,732317.1,484326.57,3801.6
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2120,1.235,7115497.71,5765364.25,18439.76,819890.54,511803.48,3900.09
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2130,1.378,8477181.78,7011180.8,20019.36,910684.38,535297.47,3941.66
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2140,1.515,9949291.27,8367874.14,21772.29,1005578.63,554065.95,4036.43
40696546B98945941781197,Atua,ssp585 (medium confidence),50,2150,1.644,1.150970118E7,9812048.91,23384.65,1103600.75,570666.58,4119.57
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2020,0.078,734500.61,454295.92,6714.82,49228.11,224262.28,2656.29
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2030,0.138,830013.88,522643.1,7038.92,59273.86,241058.21,2755.05
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2040,0.202,938068.46,601282.75,7370.39,71066.86,258348.72,2797.29
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2050,0.285,1097959.76,720469.5,7969.35,90304.87,279216.03,2884.49
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2060,0.358,1255837.56,839643.95,8579.92,110361.23,297252.82,2979.59
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2070,0.445,1465590.95,1000394.64,9357.15,137634.4,318204.77,3067.93
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2080,0.54,1726647.33,1204578.45,10159.79,171958.66,339950.71,3175.71
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2090,0.636,2027048.75,1444562.6,10894.37,211279.91,360311.67,3248.64
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2100,0.746,2431256.17,1774598.06,11858.92,262130.06,382669.06,3439.23
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2110,0.848,2845569.69,2116942.48,12874.42,312533.45,403219.69,3476.25
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2120,0.945,3273082.13,2474338.73,13771.69,362153.7,422818.05,3552.17
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2130,1.042,3762092.31,2890276.48,14662.19,414556.37,442597.46,3622.3
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2140,1.137,4294621.11,3349002.31,15689.39,467277.2,462652.09,3686.86
40696546B7360191323371,Fa'asaleleage,ssp245 (medium confidence),50,2150,1.23,4874520.5,3854146.74,16865.63,519604.95,483903.15,3733.4
40696546B7360191323371,Fa'asaleleage,ssp585 (medium confidence),50,2020,0.08,737381.19,456287.52,6726.54,49511.78,224855.29,2656.29
