Region_ID,Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0_5.Buildings,Depth.range_<_0_5.Population,Depth.range_0_5_1_0.Buildings,Depth.range_0_5_1_0.Population,Depth.range_1_0_1_5.Buildings,Depth.range_1_0_1_5.Population,Depth.range_1_5_2_0.Buildings,Depth.range_1_5_2_0.Population,Depth.range_2_0_+.Buildings,Depth.range_2_0_+.Population
,,ssp245 (medium confidence),50,2020,0.055,1,0.6321,2,0,0,2,0,0,0,21894,0,0,0.0,0,0,0,0,0,0,0,0,0,0,21894,0,2,0,0,0,0,0,0,0,0,0
,,ssp245 (medium confidence),50,2020,0.055,5,0.1813,3,3,0,3,4764,0,4764,24501,0,0,0.0,0,0,0,0,0,627,780,0,0,0,25281,5391,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2020,0.055,10,0.0952,3,3,0,3,6496,0,6496,24501,0,0,0.0,0,0,0,0,0,718,780,0,0,0,25281,7214,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2020,0.055,25,0.0392,3,3,0,3,9183,0,9183,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,9963,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2020,0.055,50,0.0198,3,3,0,3,11310,0,11310,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,12090,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2020,0.055,100,0.01,3,3,0,3,13136,0,13136,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,13916,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2020,0.055,250,0.004,3,3,0,3,15429,0,15429,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,16209,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2030,0.104,1,0.6321,2,0,0,2,0,0,0,21894,0,0,0.0,0,0,0,0,0,0,0,0,0,0,21894,0,2,0,0,0,0,0,0,0,0,0
,,ssp245 (medium confidence),50,2030,0.104,5,0.1813,3,3,0,3,5191,0,5191,24501,0,0,0.0,0,0,0,0,0,663,780,0,0,0,25281,5853,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2030,0.104,10,0.0952,3,3,0,3,6933,0,6933,24501,0,0,0.0,0,0,0,0,0,738,780,0,0,0,25281,7671,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2030,0.104,25,0.0392,3,3,0,3,9830,0,9830,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,10610,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2030,0.104,50,0.0198,3,3,0,3,11957,0,11957,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,12737,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2030,0.104,100,0.01,3,3,0,3,13750,0,13750,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,14530,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2030,0.104,250,0.004,3,3,0,3,15954,0,15954,24501,0,0,0.0,0,0,0,0,0,780,1170,0,0,0,25671,16735,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2040,0.158,1,0.6321,2,0,0,2,0,0,0,21894,0,0,0.0,0,0,0,0,0,0,0,0,0,0,21894,0,2,0,0,0,0,0,0,0,0,0
,,ssp245 (medium confidence),50,2040,0.158,5,0.1813,3,3,0,3,5659,0,5659,24501,0,0,0.0,0,0,0,0,0,684,780,0,0,0,25281,6342,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2040,0.158,10,0.0952,3,3,0,3,7544,0,7544,24501,0,0,0.0,0,0,0,0,0,759,780,0,0,0,25281,8303,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2040,0.158,25,0.0392,3,3,0,3,10547,0,10547,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,11327,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2040,0.158,50,0.0198,3,3,0,3,12665,0,12665,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,13445,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2040,0.158,100,0.01,3,3,0,3,14339,0,14339,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,15119,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2040,0.158,250,0.004,3,3,0,3,16527,0,16527,24501,0,0,0.0,0,0,0,0,0,782,1170,0,0,0,25671,17309,0,0,0,0,0,0,1,0,2,0
,,ssp245 (medium confidence),50,2050,0.228,1,0.6321,2,2,0,2,10,0,10,21894,0,0,0.0,0,0,0,0,0,0,0,0,0,0,21894,10,2,0,0,0,0,0,0,0,0,0
,,ssp245 (medium confidence),50,2050,0.228,5,0.1813,3,3,0,3,6264,0,6264,24501,0,0,0.0,0,0,0,0,0,711,780,0,0,0,25281,6975,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2050,0.228,10,0.0952,3,3,0,3,8386,0,8386,24501,0,0,0.0,0,0,0,0,0,776,780,0,0,0,25281,9162,0,0,1,0,0,0,0,0,2,0
,,ssp245 (medium confidence),50,2050,0.228,25,0.0392,3,3,0,3,11472,0,11472,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,12252,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2050,0.228,50,0.0198,3,3,0,3,13544,0,13544,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,14324,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2050,0.228,100,0.01,3,3,0,3,15093,0,15093,24501,0,0,0.0,0,0,0,0,0,780,780,0,0,0,25281,15873,0,0,0,0,1,0,0,0,2,0
,,ssp245 (medium confidence),50,2050,0.228,250,0.004,3,3,0,3,17269,0,17269,24501,0,0,0.0,0,0,0,0,0,785,1170,0,0,0,25671,18054,0,0,0,0,0,0,1,0,2,0
