Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0_5.Buildings,Depth.range_<_0_5.Population,Depth.range_0_5_1_0.Buildings,Depth.range_0_5_1_0.Population,Depth.range_1_0_1_5.Buildings,Depth.range_1_0_1_5.Population,Depth.range_1_5_2_0.Buildings,Depth.range_1_5_2_0.Population,Depth.range_2_0_+.Buildings,Depth.range_2_0_+.Population
National,ssp245 (medium confidence),50,2020,0.055,1,0.6321,725,42,403,322,5448,2593,2855,38079743,13456,0,15.26,72417,1508080,450905,5691995,48,28922,338460,2,0,3,45618278,557691,718,12306,7,1150,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2020,0.055,5,0.1813,14444,13157,8612,5832,62073790,38521226,23552564,1007229418,39942,0,264.39,11668518,56554231,15140057,59489731,611,1496927,1786736,14,0,41,1125060115,90379292,1757,3478,2480,3354,4370,5062,5160,16017,677,12031
National,ssp245 (medium confidence),50,2020,0.055,10,0.0952,15294,13874,9076,6218,95986528,60768997,35217531,1040464848,41590,0,280.39,13369727,59656102,17554549,59489731,611,1597287,1913608,17,0,42,1161524288,128508091,1866,4144,2044,2567,2952,4946,6300,8021,2132,21912
National,ssp245 (medium confidence),50,2020,0.055,25,0.0392,16358,14777,9672,6686,163279247,106197315,57081932,1089423885,43613,0,299.38,15473072,63546904,20174129,59614731,612,1718118,2060172,17,0,44,1214645692,200644565,2101,4216,1689,3027,2330,3875,3692,4696,6546,27799
National,ssp245 (medium confidence),50,2020,0.055,50,0.0198,17111,15493,10085,7026,224078824,147427020,76651805,1123961393,45015,0,311.89,16943597,65587657,21667377,59614731,612,1805281,2159354,18,0,49,1251323135,264495079,2198,4148,1682,3566,2110,3011,2741,4739,8380,29551
National,ssp245 (medium confidence),50,2020,0.055,100,0.01,17732,16092,10422,7310,284623762,188154903,96468859,1149603478,45988,0,323.57,18197499,67479098,22921553,59614731,612,1882019,2227729,19,0,49,1278925035,327624833,2181,3993,1778,3702,1954,2889,2326,4562,9493,30842
National,ssp245 (medium confidence),50,2020,0.055,250,0.004,18511,16849,10822,7689,367566907,242667716,124899192,1179635957,47609,0,338.58,19724556,70636362,24281812,59989731,615,1981540,2334551,19,0,51,1312596600,413554815,2241,4157,1827,3807,1872,3320,2072,3577,10499,32748
National,ssp245 (medium confidence),50,2030,0.104,1,0.6321,772,119,428,344,9279,4571,4708,40061223,13785,0,16.03,93449,1613330,559697,5803583,50,41222,348012,2,0,3,47826148,703647,758,11424,14,2361,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2030,0.104,5,0.1813,14478,13533,8635,5843,67611495,42100138,25511357,1008323734,40014,0,265.29,12045624,56700179,15649996,59489731,611,1523011,1797784,14,0,41,1126311428,96830127,1616,3243,2383,3353,3954,4880,5660,15053,865,13485
National,ssp245 (medium confidence),50,2030,0.104,10,0.0952,15353,14186,9110,6243,104242244,66251645,37990599,1042653888,41660,0,281.41,13723440,59872822,17952557,59489731,611,1622286,1922642,17,0,42,1163939083,137540526,1767,3798,1960,2679,2828,4813,5994,7067,2804,23303
