Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
,,ssp245 (medium confidence),50,2020,0.055,2735.29,2463.54,271.75,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2030,0.104,2934.15,2651.58,282.83,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2040,0.158,3156.37,2866.66,289.98,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2050,0.228,3448.46,3150.0,298.45,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2060,0.29,3711.99,3406.86,305.2,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2070,0.372,4116.8,3802.78,314.03,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2080,0.458,4566.86,4249.18,317.68,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2090,0.538,4994.95,4676.5,318.48,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2100,0.626,5463.11,5143.9,319.21,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2110,0.715,5921.03,5600.71,320.3,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2120,0.8,6334.71,6012.4,322.32,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2130,0.883,6738.43,6414.13,324.29,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2140,0.965,7094.3,6766.72,327.57,0.0,0.0,0.0
,,ssp245 (medium confidence),50,2150,1.046,7437.63,7105.98,331.65,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2020,0.057,2743.39,2471.04,272.09,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2030,0.115,2979.55,2695.35,284.2,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2040,0.18,3247.09,2954.39,292.7,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2050,0.262,3593.06,3290.97,302.09,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2060,0.35,4006.26,3694.72,311.81,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2070,0.457,4561.74,4244.09,317.67,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2080,0.577,5204.62,4885.87,318.76,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2090,0.717,5930.68,5610.34,320.35,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2100,0.866,6655.59,6331.78,323.89,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2110,0.98,7157.42,6829.21,328.21,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2120,1.119,7743.13,7406.93,336.71,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2130,1.252,8277.4,7923.55,353.95,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2140,1.378,8745.52,8348.8,396.71,0.0,0.0,0.0
,,ssp585 (medium confidence),50,2150,1.499,9095.38,8646.19,448.71,0.0,0.0,0.0
4.0,'Eua,ssp245 (medium confidence),50,2020,0.055,162100.51,29767.59,120.56,40563.55,91649.08,51.57
4.0,'Eua,ssp245 (medium confidence),50,2030,0.104,169293.86,32345.02,140.54,43071.82,93736.5,51.57
4.0,'Eua,ssp245 (medium confidence),50,2040,0.158,177644.23,35451.79,166.93,45881.67,96143.79,51.57
4.0,'Eua,ssp245 (medium confidence),50,2050,0.228,188560.92,39607.38,200.94,49454.12,99298.47,54.13
4.0,'Eua,ssp245 (medium confidence),50,2060,0.29,198366.56,43459.18,230.36,52539.6,102137.03,54.13
4.0,'Eua,ssp245 (medium confidence),50,2070,0.372,212105.89,49511.99,294.37,56401.64,105898.39,54.13
4.0,'Eua,ssp245 (medium confidence),50,2080,0.458,227042.48,56837.84,372.43,60240.11,109591.75,66.72
4.0,'Eua,ssp245 (medium confidence),50,2090,0.538,241418.23,64264.89,444.97,63673.9,113034.81,66.72
