Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Productive,,1097,0,0,1097,2730,318045,0,0,0,0,0,0,457,0,0,0,3,1097,0,0,0,0,0,0
Unknown,,8048,0,0,8048,24501,529295,3,3,36,8048,24501,529295,33,0,1,43,0,0,2,8005,0,0,0,0
Education,'Eua,1597,1597,0,0,1855213,1855213,22,6,22,1597,1855213,1855213,16,0,3,180,3,1417,0,0,0,0,0,0
Infrastructure,'Eua,101166,15467,0,85699,20667047,20667047,3,1,3,18,137265,137265,28641,0,33,1733,25,8586,20,79156,1,11692,0,0
Other,'Eua,115445,115445,0,0,7992438,7992438,337,71,337,115445,7992438,7992438,266,0,13,634,34,13140,23,85990,1,15682,0,0
Productive,'Eua,96809,96809,0,0,4735614,4735614,47,13,47,96809,2420121,2420121,3526,0,0,0,5,1687,7,25056,1,70065,0,0
Public,'Eua,1155,1155,0,0,12116836,12116836,85,12,85,1155,12116836,12116836,74,0,8,381,3,773,0,0,0,0,0,0
Residential,'Eua,562341,562341,0,0,55092484,55092484,1096,420,1096,562341,55092484,55092484,694,8,189,5164,125,47063,73,190557,15,319548,0,0
Unknown,'Eua,3651798,3651557,0,241,34338686,34338686,995,712,995,3651798,34338686,34338686,283,0,40,2217,250,118702,339,1257929,82,2125317,1,147633
Education,Ha'apai,0,0,0,0,0,9485030,0,0,33,0,0,9485030,33,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Ha'apai,2580,0,0,2580,25376,19422048,0,0,4,0,0,225445,18403,0,40,1568,5,1012,0,0,0,0,0,0
Other,Ha'apai,439,0,0,439,53041,4278767,2,1,293,439,53041,4278767,292,0,0,0,1,439,0,0,0,0,0,0
Productive,Ha'apai,6862,0,0,6862,10140,5641496,0,0,82,0,0,4162605,3453,0,5,145,21,6717,0,0,0,0,0,0
Public,Ha'apai,1004,0,0,1004,70148,10727980,1,1,96,1004,70148,10727980,95,0,0,0,0,0,1,1004,0,0,0,0
