Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp245 (medium confidence),50,2020,0.056,8820255.44,6133854.49,0.0,139297.69,2547102.74,3767.34
National,ssp245 (medium confidence),50,2030,0.103,9597671.69,6783105.61,0.0,147806.59,2666759.42,3786.58
National,ssp245 (medium confidence),50,2040,0.16,1.07075166E7,7727353.53,0.0,158789.94,2821373.1,4014.05
National,ssp245 (medium confidence),50,2050,0.232,1.22424974E7,9030390.31,0.0,172843.5,3039263.36,4202.77
National,ssp245 (medium confidence),50,2060,0.292,1.365868887E7,1.023115268E7,0.0,184829.36,3242706.83,4255.51
National,ssp245 (medium confidence),50,2070,0.374,1.588841688E7,1.214704545E7,0.0,201543.41,3539827.69,4495.14
National,ssp245 (medium confidence),50,2080,0.458,1.843410955E7,1.43679724E7,0.0,218879.43,3847257.5,4701.95
National,ssp245 (medium confidence),50,2090,0.54,2.121475381E7,1.682637826E7,0.0,236008.53,4152366.82,4899.36
National,ssp245 (medium confidence),50,2100,0.65,2.55369304E7,2.070970542E7,0.0,259313.65,4567911.24,5110.41
National,ssp245 (medium confidence),50,2110,0.74,2.980044848E7,2.462312283E7,0.0,278793.95,4898531.73,5485.74
National,ssp245 (medium confidence),50,2120,0.827,3.442399976E7,2.891960459E7,0.0,298077.85,5206317.47,5555.87
National,ssp245 (medium confidence),50,2130,0.914,3.919560123E7,3.336661241E7,0.0,317449.61,5511539.19,5655.17
National,ssp245 (medium confidence),50,2140,1.0,4.467640843E7,3.853837006E7,0.0,337677.04,5800361.33,5766.14
National,ssp245 (medium confidence),50,2150,1.084,5.071962781E7,4.428624032E7,0.0,358053.34,6075334.14,5948.5
National,ssp585 (medium confidence),50,2020,0.063,8934686.95,6229238.35,0.0,140565.45,2564883.42,3771.77
National,ssp585 (medium confidence),50,2030,0.114,9811231.72,6965328.97,0.0,149893.2,2696009.61,3878.6
National,ssp585 (medium confidence),50,2040,0.168,1.086399674E7,7859879.79,0.0,160329.02,2843788.15,4016.99
National,ssp585 (medium confidence),50,2050,0.252,1.271459606E7,9430644.32,0.0,176848.46,3107103.21,4228.13
National,ssp585 (medium confidence),50,2060,0.338,1.489551556E7,1.129287678E7,0.0,194177.51,3408461.19,4454.67
National,ssp585 (medium confidence),50,2070,0.438,1.780354392E7,1.38148595E7,0.0,214723.08,3773961.1,4678.06
National,ssp585 (medium confidence),50,2080,0.549,2.154247149E7,1.7118174E7,0.0,237906.6,4186391.36,4904.16
National,ssp585 (medium confidence),50,2090,0.686,2.707580285E7,2.210508242E7,0.0,266998.15,4703722.43,5133.11
National,ssp585 (medium confidence),50,2100,0.834,3.479600303E7,2.926529866E7,0.0,299627.97,5231076.7,5562.86
National,ssp585 (medium confidence),50,2110,0.94,4.085262378E7,3.493016697E7,0.0,323597.66,5598859.26,5737.87
National,ssp585 (medium confidence),50,2120,1.076,5.014408344E7,4.373882412E7,0.0,356113.12,6049146.23,5948.25
National,ssp585 (medium confidence),50,2130,1.207,6.077623116E7,5.389386374E7,0.0,388304.83,6494062.56,6106.01
National,ssp585 (medium confidence),50,2140,1.33,7.259272766E7,6.526385897E7,0.0,419523.92,6909344.93,6314.87
National,ssp585 (medium confidence),50,2150,1.446,8.510496989E7,7.735891552E7,0.0,448989.05,7297065.11,6421.68
