Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
7,Funafuti,ssp245 (medium confidence),50,2020,0.056,5883926.37,3418271.35,0.0,44117.85,2421537.44,2900.25
7,Funafuti,ssp245 (medium confidence),50,2030,0.103,6368424.47,3790787.94,0.0,46750.0,2530886.53,2915.4
7,Funafuti,ssp245 (medium confidence),50,2040,0.16,7072464.64,4345005.18,0.0,50255.91,2677203.55,3069.58
7,Funafuti,ssp245 (medium confidence),50,2050,0.232,8051358.52,5112576.4,0.0,54728.43,2884053.94,3198.83
7,Funafuti,ssp245 (medium confidence),50,2060,0.292,8958743.47,5822538.67,0.0,58523.39,3077681.43,3222.74
7,Funafuti,ssp245 (medium confidence),50,2070,0.374,1.03823178E7,6960422.31,0.0,63706.85,3358188.65,3394.63
7,Funafuti,ssp245 (medium confidence),50,2080,0.458,1.200132804E7,8288482.28,0.0,68951.84,3643893.91,3553.13
7,Funafuti,ssp245 (medium confidence),50,2090,0.54,1.376296957E7,9764762.18,0.0,73969.84,3924237.82,3699.83
7,Funafuti,ssp245 (medium confidence),50,2100,0.65,1.649544075E7,1.211041182E7,0.0,80505.07,4304523.24,3838.45
7,Funafuti,ssp245 (medium confidence),50,2110,0.74,1.917265179E7,1.448039892E7,0.0,85786.26,4606466.07,4066.05
7,Funafuti,ssp245 (medium confidence),50,2120,0.827,2.20552731E7,1.707810016E7,0.0,90934.86,4886238.08,4109.17
7,Funafuti,ssp245 (medium confidence),50,2130,0.914,2.502716997E7,1.976666621E7,0.0,96099.95,5164403.85,4175.08
7,Funafuti,ssp245 (medium confidence),50,2140,1.0,2.842518355E7,2.28926774E7,0.0,101332.8,5431173.36,4248.1
7,Funafuti,ssp245 (medium confidence),50,2150,1.084,3.215679651E7,2.636833756E7,0.0,106476.86,5681982.35,4352.75
7,Funafuti,ssp585 (medium confidence),50,2020,0.063,5955146.49,3472894.69,0.0,44508.09,2437743.41,2902.53
7,Funafuti,ssp585 (medium confidence),50,2030,0.114,6503794.95,3897742.19,0.0,47420.09,2558632.73,2982.84
7,Funafuti,ssp585 (medium confidence),50,2040,0.168,7171995.23,4422790.05,0.0,50747.52,2698457.67,3072.09
7,Funafuti,ssp585 (medium confidence),50,2050,0.252,8353847.89,5349230.24,0.0,55996.09,2948621.78,3214.5
7,Funafuti,ssp585 (medium confidence),50,2060,0.338,9748606.76,6452908.89,0.0,61430.22,3234267.36,3361.87
7,Funafuti,ssp585 (medium confidence),50,2070,0.438,1.160086497E7,7956922.58,0.0,67707.71,3576234.4,3534.73
7,Funafuti,ssp585 (medium confidence),50,2080,0.549,1.397012828E7,9940263.43,0.0,74511.54,3955353.34,3702.31
7,Funafuti,ssp585 (medium confidence),50,2090,0.686,1.746839239E7,1.295687373E7,0.0,82608.11,4428910.32,3855.52
7,Funafuti,ssp585 (medium confidence),50,2100,0.834,2.228720681E7,1.728711077E7,0.0,91349.19,4908747.07,4116.1
7,Funafuti,ssp585 (medium confidence),50,2110,0.94,2.605447977E7,2.07117394E7,0.0,97683.61,5245056.72,4226.24
7,Funafuti,ssp585 (medium confidence),50,2120,1.076,3.18014047E7,2.603732209E7,0.0,105986.9,5658095.71,4352.75
7,Funafuti,ssp585 (medium confidence),50,2130,1.207,3.835924992E7,3.218864985E7,0.0,114055.11,6056544.95,4433.66
7,Funafuti,ssp585 (medium confidence),50,2140,1.33,4.560499328E7,3.90639447E7,0.0,121694.12,6419354.54,4545.14
7,Funafuti,ssp585 (medium confidence),50,2150,1.446,5.324197715E7,4.635694374E7,0.0,128858.83,6756174.59,4579.17
2,Nanumanga,ssp245 (medium confidence),50,2020,0.056,199393.12,181901.61,0.0,16909.88,581.39,18.43
2,Nanumanga,ssp245 (medium confidence),50,2030,0.103,218841.69,199898.93,0.0,18099.94,842.82,18.5
2,Nanumanga,ssp245 (medium confidence),50,2040,0.16,247062.97,225767.06,0.0,19659.45,1636.2,22.81
2,Nanumanga,ssp245 (medium confidence),50,2050,0.232,286621.19,261935.46,0.0,21677.86,3007.79,28.38
2,Nanumanga,ssp245 (medium confidence),50,2060,0.292,323702.78,295714.38,0.0,23430.53,4558.1,29.2
2,Nanumanga,ssp245 (medium confidence),50,2070,0.374,383448.95,348472.2,0.0,26016.42,8960.58,33.75
2,Nanumanga,ssp245 (medium confidence),50,2080,0.458,453055.25,407635.86,0.0,28780.42,16638.66,36.99
2,Nanumanga,ssp245 (medium confidence),50,2090,0.54,528865.14,471727.85,0.0,31562.49,25574.87,38.48
2,Nanumanga,ssp245 (medium confidence),50,2100,0.65,645866.16,571920.12,0.0,35379.16,38566.6,41.88
2,Nanumanga,ssp245 (medium confidence),50,2110,0.74,762704.93,674829.68,0.0,38522.04,49353.47,47.53
2,Nanumanga,ssp245 (medium confidence),50,2120,0.827,890753.91,790118.31,0.0,41581.78,59053.77,47.74
2,Nanumanga,ssp245 (medium confidence),50,2130,0.914,1021651.02,908973.85,0.0,44633.04,68044.32,49.32
2,Nanumanga,ssp245 (medium confidence),50,2140,1.0,1165853.4,1044847.24,0.0,47733.26,73272.91,53.35
2,Nanumanga,ssp245 (medium confidence),50,2150,1.084,1319145.59,1189978.19,0.0,50842.57,78324.83,60.29
2,Nanumanga,ssp585 (medium confidence),50,2020,0.063,202254.57,184548.44,0.0,17086.88,619.19,18.43
2,Nanumanga,ssp585 (medium confidence),50,2030,0.114,224216.75,204891.29,0.0,18395.58,930.15,20.97
2,Nanumanga,ssp585 (medium confidence),50,2040,0.168,251020.84,229397.58,0.0,19878.09,1745.16,23.02
2,Nanumanga,ssp585 (medium confidence),50,2050,0.252,298984.18,273195.14,0.0,22264.75,3524.59,29.19
2,Nanumanga,ssp585 (medium confidence),50,2060,0.338,356785.91,324997.25,0.0,24869.48,6919.17,33.75
2,Nanumanga,ssp585 (medium confidence),50,2070,0.438,435691.14,393080.84,0.0,28111.08,14499.51,36.7
2,Nanumanga,ssp585 (medium confidence),50,2080,0.549,537719.12,479271.16,0.0,31873.46,26574.69,38.63
2,Nanumanga,ssp585 (medium confidence),50,2090,0.686,687608.01,607850.47,0.0,36635.69,43122.03,41.94
2,Nanumanga,ssp585 (medium confidence),50,2100,0.834,901056.17,799394.46,0.0,41827.55,59834.16,47.76
2,Nanumanga,ssp585 (medium confidence),50,2110,0.94,1065254.84,950051.61,0.0,45578.13,69625.08,52.67
2,Nanumanga,ssp585 (medium confidence),50,2120,1.076,1304546.26,1176156.59,0.0,50546.13,77843.56,60.29
2,Nanumanga,ssp585 (medium confidence),50,2130,1.207,1570533.7,1429515.65,0.0,55468.17,85550.24,66.56
2,Nanumanga,ssp585 (medium confidence),50,2140,1.33,1873385.81,1720895.22,0.0,60203.84,92286.44,73.32
2,Nanumanga,ssp585 (medium confidence),50,2150,1.446,2204228.83,2041759.24,0.0,64773.77,97695.86,81.35
1,Nanumea,ssp245 (medium confidence),50,2020,0.056,493311.66,459508.25,0.0,33803.64,0.0,138.14
1,Nanumea,ssp245 (medium confidence),50,2030,0.103,539497.62,503388.13,0.0,36109.27,0.0,138.47
1,Nanumea,ssp245 (medium confidence),50,2040,0.16,603645.55,564790.9,0.0,38854.23,0.0,146.01
1,Nanumea,ssp245 (medium confidence),50,2050,0.232,690665.73,648410.73,0.0,42255.3,0.0,153.64
1,Nanumea,ssp245 (medium confidence),50,2060,0.292,769429.77,724403.87,0.0,45026.13,0.0,157.79
1,Nanumea,ssp245 (medium confidence),50,2070,0.374,894966.04,846317.83,0.0,48647.94,0.0,167.09
1,Nanumea,ssp245 (medium confidence),50,2080,0.458,1035799.38,983593.29,0.0,52206.02,0.0,175.18
1,Nanumea,ssp245 (medium confidence),50,2090,0.54,1188685.56,1133087.98,0.0,55597.82,0.0,183.25
1,Nanumea,ssp245 (medium confidence),50,2100,0.65,1423135.04,1362865.83,0.0,60194.0,75.09,194.18
1,Nanumea,ssp245 (medium confidence),50,2110,0.74,1649208.71,1584733.18,0.0,64092.23,383.3,211.57
1,Nanumea,ssp245 (medium confidence),50,2120,0.827,1892718.18,1823726.44,0.0,67950.74,1041.28,216.5
1,Nanumea,ssp245 (medium confidence),50,2130,0.914,2144429.69,2070814.71,0.0,71811.05,1803.9,224.46
1,Nanumea,ssp245 (medium confidence),50,2140,1.0,2435878.05,2356788.12,0.0,75747.51,3342.41,229.94
1,Nanumea,ssp245 (medium confidence),50,2150,1.084,2766182.04,2680038.93,0.0,79754.58,6388.51,243.3
1,Nanumea,ssp585 (medium confidence),50,2020,0.063,500122.92,465974.92,0.0,34148.0,0.0,138.14
1,Nanumea,ssp585 (medium confidence),50,2030,0.114,551873.94,515237.98,0.0,36636.19,0.0,142.77
