Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp245 (medium confidence),50,2020,0.049,4616893.68,2568063.21,226147.35,458245.57,1364437.97,2103.13
National,ssp245 (medium confidence),50,2030,0.094,5011024.58,2806907.64,238654.65,492509.29,1472953.28,2127.9
National,ssp245 (medium confidence),50,2040,0.143,5507911.84,3112362.0,252694.2,534277.65,1608577.8,2323.06
National,ssp245 (medium confidence),50,2050,0.209,6201744.68,3542037.23,271744.03,591962.18,1796001.06,2375.92
National,ssp245 (medium confidence),50,2060,0.266,6879790.51,3966274.43,288600.7,648558.01,1976357.48,2589.03
National,ssp245 (medium confidence),50,2070,0.338,7781793.89,4541515.09,310212.38,724196.72,2205869.77,2812.43
National,ssp245 (medium confidence),50,2080,0.418,8861463.7,5243374.27,334682.66,815470.96,2467935.88,3007.57
National,ssp245 (medium confidence),50,2090,0.494,9981071.8,5987268.3,358360.17,910955.05,2724488.34,3143.18
National,ssp245 (medium confidence),50,2100,0.562,1.110452218E7,6751140.9,380555.8,1004648.64,2968176.6,3451.85
National,ssp245 (medium confidence),50,2110,0.643,1.254067277E7,7746316.88,408090.66,1124424.23,3261840.72,3772.96
National,ssp245 (medium confidence),50,2120,0.72,1.403258825E7,8806623.85,435615.63,1248146.08,3542202.61,4185.9
National,ssp245 (medium confidence),50,2130,0.796,1.566857938E7,9999888.63,464353.73,1386603.62,3817733.42,4452.08
National,ssp245 (medium confidence),50,2140,0.872,1.730281413E7,1.119315338E7,493072.69,1524129.51,4092458.59,4482.41
National,ssp245 (medium confidence),50,2150,0.946,1.903938194E7,1.249290139E7,522071.62,1669572.71,4354836.53,4889.63
