Region_ID,Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,1,0.6321,11,0,8,3,0,0,0,312595,105,24,3.55,16004,199452,1368,56285,10,3612,49200,1,0,0,617532,20984,11,105,0,0,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,5,0.1813,224,102,134,90,42501,27854,14647,4723383,1387,314,18.74,213177,1351308,22202,90255,73,314519,556452,6,0,4,6721398,592400,151,812,47,289,19,199,7,87,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,10,0.0952,286,133,165,121,55826,36196,19630,5777475,1576,357,20.36,246237,1476633,23841,115500,85,358477,589416,7,0,4,7959024,684381,192,899,63,342,20,230,11,92,0,13
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,25,0.0392,355,169,208,147,79514,51264,28251,6754452,1855,420,22.9,293878,1666586,26000,116975,90,414257,652392,9,0,4,9190404,813649,219,1009,93,444,29,266,14,106,0,30
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,50,0.0198,430,219,253,177,102950,65882,37067,7896044,2102,477,25.37,334505,1863673,27464,117770,93,455333,693228,9,0,5,10570715,920251,270,1072,108,561,35,299,16,128,1,43
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,100,0.01,545,290,312,233,133117,85048,48068,10168868,2362,537,28.33,382761,2107195,28919,122578,107,499407,742428,9,0,5,13141069,1044204,337,1159,144,672,46,315,14,146,4,70
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,250,0.004,818,419,448,370,194048,124683,69365,15348879,2808,637,33.7,468694,2573434,31636,135828,128,562550,821640,13,0,5,18879781,1256928,496,1238,221,913,76,396,19,169,6,92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,1,0.6321,11,0,8,3,0,0,0,312595,105,24,3.62,18695,208548,1934,56285,11,4865,52152,1,0,0,629580,25494,11,105,0,0,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,5,0.1813,232,102,138,94,47496,31138,16358,4844384,1422,322,18.84,225651,1363701,22799,90523,74,332718,559404,6,0,4,6858012,628664,150,816,54,307,21,207,7,92,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,10,0.0952,289,133,166,123,62579,40813,21766,5791158,1589,360,20.52,259638,1489327,24621,115778,86,377013,592368,7,0,4,7988632,723851,184,868,72,337,22,270,11,101,0,13
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,25,0.0392,362,169,212,150,88588,57262,31326,6865429,1872,424,23.05,308540,1683076,26814,116975,90,432516,655344,9,0,4,9320824,856459,219,957,96,473,33,275,13,132,1,34
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,50,0.0198,438,219,257,181,114323,73427,40896,8071513,2115,480,25.52,350391,1880165,28243,118165,94,473578,697164,9,0,5,10767007,966535,265,1010,116,609,39,316,14,115,4,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,100,0.01,551,290,316,235,146994,94321,52673,10221327,2384,542,28.56,400449,2129585,29735,122973,108,517874,746364,9,0,5,13220249,1095052,324,1102,154,725,53,324,15,159,5,74
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,250,0.004,827,419,450,377,214206,138214,75992,15664974,2839,644,33.88,490522,2588726,32680,136628,129,580531,827544,13,0,5,19217871,1317939,471,1164,236,977,92,406,22,187,6,106
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,1,0.6321,13,2,8,5,12,9,3,313839,149,34,3.87,21885,231477,2784,56439,12,6865,68880,1,0,1,670635,31546,13,132,0,17,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,5,0.1813,281,130,162,119,54424,35839,18586,5705958,1549,351,20.03,239885,1461342,23652,115300,84,352975,584988,7,0,4,7867589,670936,192,898,58,307,21,239,10,96,0,9
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,10,0.0952,324,152,187,137,71420,46825,24595,6271703,1784,404,21.8,274840,1594552,25513,116975,90,396969,629268,9,0,4,8612497,768743,209,992,78,395,24,270,13,110,0,17
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,25,0.0392,413,214,241,172,100791,65408,35384,7573240,2063,468,24.87,325346,1820143,27680,118560,95,452101,691260,9,0,4,10203203,905917,265,1050,95,548,36,289,16,119,1,56
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,50,0.0198,492,270,294,198,129071,83368,45702,9243170,2310,525,27.36,368658,2015041,29104,121773,105,493306,737508,9,0,5,12117492,1020139,302,1112,127,681,45,298,14,155,4,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,100,0.01,629,346,352,277,165628,106995,58633,12342655,2632,597,30.78,421684,2332262,30685,125289,114,537429,786708,11,0,5,15586914,1155427,374,1206,170,838,63,338,16,164,6,87
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,250,0.004,935,506,502,433,241084,156252,84831,18299862,3153,715,36.11,516035,2796136,34032,146778,141,600343,865428,14,0,5,22108203,1391494,561,1386,242,985,95,468,29,200,8,114
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,1,0.6321,14,3,8,6,36,28,8,389542,149,34,3.97,26222,240873,3974,56439,12,9875,73308,1,0,1,760161,40106,14,110,0,39,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,5,0.1813,288,146,165,123,64303,42573,21729,5784268,1594,361,20.36,259208,1479331,24844,115778,86,380260,592368,7,0,4,7971746,728615,181,855,73,360,21,265,13,101,0,13
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,10,0.0952,340,189,198,142,84013,55369,28644,6527131,1819,412,22.13,295505,1622309,26715,116975,90,423732,639108,9,0,4,8905523,829966,203,929,94,448,29,275,14,128,0,39
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,25,0.0392,428,263,251,177,118163,77050,41112,7913008,2107,478,25.27,348192,1853226,28835,119183,97,478376,701592,9,0,5,10587009,973566,254,971,115,640,41,290,14,146,4,61
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,50,0.0198,512,329,303,209,150059,97592,52467,10034150,2341,532,27.93,393693,2069914,30271,122473,107,519829,746856,9,0,5,12973393,1093852,285,1009,154,765,52,324,16,164,5,79
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,100,0.01,649,398,361,288,192299,125247,67052,12645754,2680,608,31.37,450811,2370842,31999,127475,119,563735,798516,11,0,5,15942587,1238844,354,1097,194,909,72,383,22,199,7,92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,250,0.004,961,588,514,447,279384,181912,97473,18777059,3224,731,36.71,550931,2848893,35887,147428,143,627376,880680,14,0,5,22654060,1493578,535,1293,271,1039,111,541,33,214,11,136
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,1,0.6321,15,3,8,7,84,71,13,408598,189,43,4.3,30021,264860,5003,56439,12,13622,95940,1,0,1,825837,48730,13,150,2,39,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,5,0.1813,319,146,184,135,74294,49442,24852,6201173,1780,403,21.56,276904,1583757,25920,116812,89,403457,630252,9,0,4,8531995,780576,199,948,82,404,25,274,13,137,0,17
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,10,0.0952,390,189,228,162,97099,64168,32930,7201390,1976,448,23.87,314427,1738295,27724,118360,94,446558,677976,9,0,4,9736021,885807,244,990,93,522,37,284,15,123,1,56
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,25,0.0392,486,263,289,197,135887,89118,46769,9260718,2302,523,27.13,369430,1988156,29804,120373,101,500940,741444,9,0,5,12110692,1036060,284,1060,136,702,44,316,18,150,4,74
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,50,0.0198,591,329,334,257,171905,112657,59247,11498827,2592,588,30.08,418149,2273998,31340,126275,116,542711,785724,11,0,5,14684824,1164105,333,1135,170,842,61,337,21,190,6,88
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,100,0.01,765,398,423,342,220302,144817,75485,14650638,2871,651,33.49,478589,2570202,33253,130287,124,586956,843780,12,0,5,18194907,1319100,437,1171,213,960,82,426,23,213,10,100
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,250,0.004,1085,588,581,504,318876,208131,110744,20770041,3498,793,39.2,584367,3082330,40112,256940,155,652488,920532,16,0,6,25029842,1595842,610,1476,305,1065,120,571,36,236,14,150
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,1,0.6321,18,7,11,7,234,190,45,449062,220,50,4.74,34772,293155,6409,77511,15,19320,123984,1,0,1,943712,60735,15,168,3,52,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,5,0.1813,364,174,210,154,88769,59350,29419,6857725,1936,439,23.19,299607,1684422,27235,118360,94,432560,673056,9,0,4,9333563,848171,223,997,95,484,32,279,14,124,0,52
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,10,0.0952,441,239,260,181,116057,77080,38977,8364980,2164,491,25.64,339097,1875925,28988,119973,99,474927,721272,9,0,5,11082150,959070,278,1023,105,641,38,276,17,159,3,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,25,0.0392,553,313,322,231,161141,106523,54618,10848749,2514,571,29.19,397695,2202576,31082,125275,114,529702,780312,9,0,5,13956911,1119620,319,1130,152,792,57,315,20,195,5,83
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,50,0.0198,657,376,369,288,203321,134575,68746,13125839,2783,631,32.37,450389,2483535,32730,127519,120,572029,833940,12,0,5,16570834,1258469,363,1172,190,913,73,372,22,230,9,96
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,100,0.01,850,474,470,380,259425,171965,87461,16373785,3136,710,35.83,514912,2776216,35571,244897,142,616953,890028,16,0,5,20284926,1426862,484,1306,231,1024,90,443,33,245,12,118
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,250,0.004,1230,724,658,572,374873,243958,130915,23635540,3810,864,41.57,627776,3316710,45188,275167,183,684910,961860,18,0,6,28189277,1732747,699,1612,340,1082,133,655,39,289,19,172
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,1,0.6321,26,11,17,9,615,455,160,588874,246,56,5.28,40240,327356,8097,77511,16,27192,151044,1,0,2,1144785,76144,22,185,4,61,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,5,0.1813,417,234,243,174,107938,72491,35447,7988085,2068,469,24.66,325903,1798964,28652,119773,98,464448,701592,9,0,5,10608414,926941,267,970,95,606,35,263,20,163,0,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,10,0.0952,489,291,289,200,140824,94138,46686,9860829,2320,527,27.01,367945,1988898,30386,122275,105,506191,751776,9,0,5,12723778,1045345,286,1039,135,742,44,281,20,177,4,83
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,25,0.0392,605,367,344,261,193669,129224,64445,11794707,2668,605,30.95,431507,2355699,32547,127319,119,562162,816720,11,0,5,15094445,1219885,329,1127,178,873,66,350,23,226,9,92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,50,0.0198,742,441,413,329,243589,162706,80883,14339608,2969,673,33.97,488613,2621178,34324,133176,132,605216,869364,15,0,5,17963325,1371743,401,1211,214,966,87,426,28,240,12,127
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,100,0.01,931,559,504,427,308374,205296,103078,18142249,3337,756,37.65,557774,2955726,39387,258126,158,651202,929388,16,0,5,22285490,1556738,517,1354,252,1004,111,541,35,280,16,158
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,250,0.004,1355,837,735,620,446923,288486,158437,26292612,4023,913,43.66,678481,3504919,51273,291821,215,721637,996792,18,0,7,31086144,1898314,726,1580,392,1145,169,776,48,333,20,189
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,1,0.6321,28,11,18,10,1386,937,449,627064,268,61,5.92,46242,366035,9770,77511,16,36547,166788,1,0,2,1237398,93945,21,198,7,70,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,5,0.1813,442,234,261,181,130215,87947,42268,8532450,2181,495,25.63,352748,1883921,29990,120368,100,493905,724716,9,0,5,11261455,1006859,270,930,108,719,40,272,20,186,4,74
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,10,0.0952,518,291,304,214,168558,113366,55192,10331777,2418,549,28.23,397468,2111138,31726,123675,109,536485,766536,9,0,5,13333126,1134237,277,1014,158,781,54,329,21,208,8,87
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,25,0.0392,646,367,365,281,229865,154757,75108,12662731,2784,631,31.98,466635,2459856,33925,128767,123,593743,841320,13,0,5,16092673,1324169,331,1085,201,930,79,382,23,270,12,118
