Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp245 (medium confidence),50,2020,0.049,1,0.6321,176,73,85,91,32020,19591,12429,31901117,238,52,7.7,42310,608013,299717,3658270,167,10677,93233,1,0,1,36260633,384723,164,229,12,9,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2020,0.049,5,0.1813,1426,925,807,619,5286771,2965732,2321039,207785275,4667,996,66.09,948278,8445746,2937387,21908345,818,505903,897690,7,0,14,239037056,9678338,692,2816,410,1095,175,559,147,197,2,0
National,ssp245 (medium confidence),50,2020,0.049,10,0.0952,1577,1059,887,690,6691870,3837672,2854198,222893475,5164,1104,74.28,1149687,9876044,3315199,24244408,921,571633,953039,8,0,14,257966967,11728390,713,2725,461,1471,230,680,134,264,39,24
National,ssp245 (medium confidence),50,2020,0.049,25,0.0392,1752,1220,993,759,8667475,5076051,3591424,243276043,5888,1261,84.86,1446772,12042840,3780842,28242840,1038,654270,1048445,11,0,15,284610167,14549359,724,2775,531,1937,294,720,124,372,79,84
National,ssp245 (medium confidence),50,2020,0.049,50,0.0198,1903,1337,1077,826,10127834,5974935,4152899,257299024,6511,1397,92.75,1700186,13419564,4113187,30150741,1116,714268,1113839,11,0,17,301983168,16655475,757,2911,586,2199,327,823,134,443,99,136
National,ssp245 (medium confidence),50,2020,0.049,100,0.01,2081,1474,1164,917,11733403,6955879,4777525,269210409,7106,1527,101.35,1993371,15018754,4468391,33588661,1232,777729,1185671,11,0,17,319003495,18972895,818,2990,638,2411,338,1000,168,475,119,231
National,ssp245 (medium confidence),50,2020,0.049,250,0.004,2446,1684,1345,1101,14118685,8418913,5699772,294862336,8079,1738,114.65,2477822,17619791,4986395,35968039,1330,868317,1301291,15,0,17,349751457,22451219,975,3083,736,2778,385,1322,210,527,140,369
National,ssp245 (medium confidence),50,2030,0.094,1,0.6321,176,73,85,91,53980,32997,20983,31901117,238,52,7.89,49221,621860,350153,3709721,171,13934,96677,1,0,1,36329374,467287,145,224,31,14,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2030,0.094,5,0.1813,1440,925,814,626,5785901,3263611,2522290,209310097,4731,1010,66.85,1021143,8606687,3159386,21944641,822,534541,903347,7,0,14,240764772,10500971,657,2698,424,1198,207,608,140,221,12,6
National,ssp245 (medium confidence),50,2030,0.094,10,0.0952,1588,1059,892,696,7313345,4220857,3092488,224007402,5223,1117,74.87,1233180,9994485,3558368,24529970,931,600914,956975,8,0,14,259488831,12705807,668,2590,491,1570,243,738,130,301,56,24
National,ssp245 (medium confidence),50,2030,0.094,25,0.0392,1767,1220,1001,766,9414591,5540769,3873822,244357310,5933,1271,85.67,1545264,12166738,4057356,28430913,1043,683898,1052381,11,0,15,286007342,15701108,674,2599,564,2072,309,740,127,409,93,112
National,ssp245 (medium confidence),50,2030,0.094,50,0.0198,1920,1337,1083,837,10965951,6488370,4477581,258598175,6573,1410,93.45,1807679,13546410,4419101,30635518,1123,744204,1121219,11,0,17,303901322,17936935,726,2734,594,2280,339,910,150,472,111,178
National,ssp245 (medium confidence),50,2030,0.094,100,0.01,2096,1474,1173,923,12693210,7546935,5146275,270114091,7157,1538,102.19,2112990,15164729,4812076,33843142,1237,808014,1194527,11,0,17,320316490,20426290,778,2785,654,2502,356,1114,182,497,126,260
National,ssp245 (medium confidence),50,2030,0.094,250,0.004,2469,1684,1351,1118,15227562,9102029,6125533,296620505,8135,1750,115.47,2618630,17830039,5367568,36522739,1340,898544,1309163,15,0,17,352282446,24112304,928,2877,743,2907,421,1381,226,563,151,407
National,ssp245 (medium confidence),50,2040,0.143,1,0.6321,203,106,98,105,88096,51898,36198,36678194,341,74,8.96,57551,709689,408759,4098601,199,18374,118325,2,0,2,41604809,572781,149,289,54,51,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2040,0.143,5,0.1813,1561,1053,879,682,6433953,3660302,2773651,220867042,5098,1090,73.68,1110488,9979768,3438905,26119309,927,566474,949103,9,0,14,257915222,11549820,701,2800,467,1383,221,652,146,243,26,19
National,ssp245 (medium confidence),50,2040,0.143,10,0.0952,1703,1187,957,746,8087666,4699568,3388098,238042730,5737,1227,81.77,1334150,11524879,3871867,28521201,1026,633109,1016957,11,0,15,279105767,13926792,720,2814,515,1813,272,737,128,326,68,47
National,ssp245 (medium confidence),50,2040,0.143,25,0.0392,1908,1356,1067,841,10331783,6100493,4231290,263553465,6424,1378,92.88,1664531,13777422,4406026,31166222,1114,715976,1115315,11,0,16,309612424,17118315,760,2821,574,2208,333,828,136,424,105,144
National,ssp245 (medium confidence),50,2040,0.143,50,0.0198,2064,1469,1158,906,12019814,7133951,4885863,276976690,7112,1527,101.03,1938824,15255556,4801819,34357271,1226,776699,1187147,11,0,17,327776665,19537156,799,2974,634,2446,341,984,170,513,120,196
National,ssp245 (medium confidence),50,2040,0.143,100,0.01,2265,1619,1248,1017,13875452,8274612,5600840,292089769,7814,1678,109.95,2257805,16877417,5224249,36581012,1300,840875,1258979,13,0,17,346807177,22198381,867,3145,689,2642,371,1204,201,511,137,312
