Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,273542.78,22286.54,140865.08,100597.45,9793.46,646.92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,290217.21,24866.12,148576.51,106582.01,10192.54,658.46
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,309757.86,28367.53,157202.72,113448.89,10738.68,730.53
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,336521.26,33359.84,168882.2,122783.14,11496.25,748.09
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,361113.14,38467.31,179119.76,131345.56,12180.35,832.63
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,393507.86,45845.7,192208.71,142390.97,13062.4,909.91
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,431875.47,55542.46,207000.63,155258.59,14073.84,973.89
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,471579.79,66642.41,221336.54,168509.43,15091.11,1024.59
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,510935.21,78619.96,234876.59,181429.46,16009.51,1119.3
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,561506.86,94719.42,251748.44,197910.18,17129.12,1237.97
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,614596.58,112710.12,268736.68,214840.97,18308.7,1367.52
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,674622.4,134252.46,286664.82,233465.72,20239.66,1447.65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,734419.08,155794.6,304581.29,251974.9,22068.16,1458.52
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,799950.79,181386.18,322953.9,271269.18,24341.6,1587.4
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,13922.47,11.03,2825.91,1046.98,10038.24,9.53
VUT.2_1,Penama,ssp245 (medium confidence),50,2030,0.094,14463.26,14.64,2937.31,1091.15,10420.23,9.53
VUT.2_1,Penama,ssp245 (medium confidence),50,2040,0.143,15074.19,19.73,3057.25,1144.89,10852.27,13.07
VUT.2_1,Penama,ssp245 (medium confidence),50,2050,0.209,15907.1,27.65,3224.18,1218.98,11436.61,14.41
VUT.2_1,Penama,ssp245 (medium confidence),50,2060,0.266,16661.86,38.59,3398.65,1290.7,11934.02,17.06
VUT.2_1,Penama,ssp245 (medium confidence),50,2070,0.338,17655.81,63.62,3665.15,1389.9,12537.28,17.52
