Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
ssp119 (medium confidence),5,2020,0.012,1830297.74,883072.39,18918.5,928306.82,9443.68
ssp119 (medium confidence),5,2030,0.029,1906071.79,921263.28,19393.73,965414.86,9492.93
ssp119 (medium confidence),5,2040,0.05,1999422.9,968441.77,19975.72,1011006.18,9566.98
ssp119 (medium confidence),5,2050,0.092,2186120.54,1062797.03,21137.26,1102185.75,9693.33
ssp119 (medium confidence),5,2060,0.102,2231212.66,1086289.24,21414.94,1123508.51,9716.04
ssp119 (medium confidence),5,2070,0.126,2358114.28,1152522.63,22114.9,1183477.05,9763.93
ssp119 (medium confidence),5,2080,0.14,2431754.38,1191158.83,22525.13,1218070.4,9803.63
ssp119 (medium confidence),5,2090,0.162,2547297.1,1251872.95,23167.69,1272255.93,9864.49
ssp119 (medium confidence),5,2100,0.145,2458014.36,1204957.63,22671.37,1230385.3,9818.85
ssp119 (medium confidence),5,2110,0.17,2589312.48,1273950.41,23401.34,1291960.51,9900.99
ssp119 (medium confidence),5,2120,0.179,2636579.6,1298788.48,23664.57,1314126.82,9928.94
ssp119 (medium confidence),5,2130,0.184,2662839.46,1312587.13,23810.66,1326441.69,9943.51
ssp119 (medium confidence),5,2140,0.188,2683847.48,1323625.97,23927.43,1336294.18,9955.23
ssp119 (medium confidence),5,2150,0.194,2715358.68,1340184.34,24102.45,1351071.92,9973.9
ssp119 (medium confidence),17,2020,0.026,1892736.24,914524.15,19310.59,958901.91,9486.69
ssp119 (medium confidence),17,2030,0.052,2008312.68,972934.34,20030.87,1015347.17,9572.1
ssp119 (medium confidence),17,2040,0.078,2123887.27,1031345.18,20749.57,1071792.09,9651.44
ssp119 (medium confidence),17,2050,0.123,2341998.78,1144243.49,22026.83,1175728.19,9754.65
ssp119 (medium confidence),17,2060,0.141,2437006.63,1193918.61,22554.76,1220532.82,9806.12
ssp119 (medium confidence),17,2070,0.174,2610320.36,1284989.68,23518.51,1301812.05,9912.02
ssp119 (medium confidence),17,2080,0.198,2736366.37,1351223.07,24219.53,1360923.83,9984.68
ssp119 (medium confidence),17,2090,0.229,2933855.98,1451400.26,25180.87,1457275.0,10043.72
ssp119 (medium confidence),17,2100,0.243,3024193.7,1497096.64,25618.84,1501478.43,10089.56
ssp119 (medium confidence),17,2110,0.266,3172531.74,1572169.81,26337.6,1574024.16,10162.02
