Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Banana.Loss,CropType.Banana.Count,CropType.Banana.Exposed_Value,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Cultivated_Land.Loss,CropType.Cultivated_Land.Count,CropType.Cultivated_Land.Exposed_Value,CropType.Mixed_Crops.Loss,CropType.Mixed_Crops.Count,CropType.Mixed_Crops.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,CropType.Yam.Loss,CropType.Yam.Count,CropType.Yam.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp119 (medium confidence),5,2020,0.012,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2020,0.012,5,0.1813,3522204,2985,152094581,22713,1692930,822,134185925,41670,609,294888,1787604,19,17591054,27.3228,0.0992,,,,,,,39188,606,290791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10741,89,541497,114097,56,11202591,598022,466,68372044
ssp119 (medium confidence),5,2020,0.012,10,0.0952,4508393,3155,193179283,23554,2256128,905,172064061,48305,652,316910,2203960,20,20774757,31.1554,0.1072,,,,,,,45527,649,312813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15737,97,583947,151866,62,13346305,855472,516,77858176
ssp119 (medium confidence),5,2020,0.012,25,0.0392,6313481,3360,253085192,24324,3167462,995,205232341,57443,721,350425,3088574,22,47478102,36.099900000000005,0.11760000000000001,,,,,,,54358,718,346328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23599,105,605982,206778,65,14863198,1296407,561,83883991
ssp119 (medium confidence),5,2020,0.012,50,0.0198,8553164,3550,281187192,24952,4036295,1094,231632551,65053,764,376420,4451818,23,49153269,40.0625,0.12469999999999999,,,,,,,61772,760,370889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31139,113,629958,260772,70,15945561,1762283,616,90276718
ssp119 (medium confidence),5,2020,0.012,100,0.01,11235657,3740,316577456,25715,5126121,1175,263254140,73479,821,400680,6036060,25,52896919,44.5994,0.12890000000000001,,,,,,,69999,816,394977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40605,123,655952,331247,74,20429161,2364224,656,96630441
ssp119 (medium confidence),5,2020,0.012,250,0.004,16150613,4025,353940326,26944,7083684,1310,295298839,86480,908,444859,8980449,33,58169683,51.76469999999999,0.1334,,,,,,,82718,902,437722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55574,131,743569,438167,78,20886005,3448542,734,107256033
ssp119 (medium confidence),5,2030,0.029,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),5,2030,0.029,5,0.1813,3668564,3060,159380499,22846,1770760,857,140880538,42789,632,299592,1855015,19,18177523,27.9623,0.1005,,,,,,,40236,629,295495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11438,94,549705,120182,59,11739451,632575,485,69502500
ssp119 (medium confidence),5,2030,0.029,10,0.0952,4675270,3221,199134938,23632,2354921,938,177783564,49481,675,321448,2270869,20,21006296,31.772399999999998,0.1085,,,,,,,46643,672,317351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16606,99,584983,158751,62,13439509,899597,533,78635169
