Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
VU04,Malampa,ssp119 (medium confidence),5,2020,0.012,30061.48,26275.49,1585.83,2200.12,1724.66
VU04,Malampa,ssp119 (medium confidence),5,2030,0.029,31019.68,27170.43,1627.41,2221.89,1729.24
VU04,Malampa,ssp119 (medium confidence),5,2040,0.05,32202.95,28276.09,1678.64,2248.54,1733.11
VU04,Malampa,ssp119 (medium confidence),5,2050,0.092,34569.54,30487.2,1780.47,2301.51,1742.83
VU04,Malampa,ssp119 (medium confidence),5,2060,0.102,35154.16,31035.15,1804.88,2314.21,1744.48
VU04,Malampa,ssp119 (medium confidence),5,2070,0.126,36765.38,32555.33,1866.11,2343.97,1749.83
VU04,Malampa,ssp119 (medium confidence),5,2080,0.14,37705.17,33442.43,1901.55,2361.15,1754.67
VU04,Malampa,ssp119 (medium confidence),5,2090,0.162,39181.9,34835.93,1957.75,2388.18,1761.11
VU04,Malampa,ssp119 (medium confidence),5,2100,0.145,38040.64,33758.99,1914.43,2367.15,1756.21
VU04,Malampa,ssp119 (medium confidence),5,2110,0.17,39719.1,35342.87,1978.17,2398.11,1769.08
VU04,Malampa,ssp119 (medium confidence),5,2120,0.179,40323.11,35912.84,2001.08,2409.23,1772.31
VU04,Malampa,ssp119 (medium confidence),5,2130,0.184,40658.88,36229.69,2013.95,2415.22,1773.97
VU04,Malampa,ssp119 (medium confidence),5,2140,0.188,40927.46,36483.16,2024.01,2420.33,1775.55
VU04,Malampa,ssp119 (medium confidence),5,2150,0.194,41330.08,36863.05,2039.41,2427.55,1777.64
VU04,Malampa,ssp119 (medium confidence),17,2020,0.026,30850.67,27012.6,1620.16,2217.97,1728.64
VU04,Malampa,ssp119 (medium confidence),17,2030,0.052,32315.62,28381.22,1683.39,2250.94,1733.34
VU04,Malampa,ssp119 (medium confidence),17,2040,0.078,33780.73,29750.14,1746.61,2283.97,1738.58
VU04,Malampa,ssp119 (medium confidence),17,2050,0.123,36563.92,32365.49,1858.31,2340.11,1748.47
VU04,Malampa,ssp119 (medium confidence),17,2060,0.141,37772.28,33505.79,1904.18,2362.33,1755.29
VU04,Malampa,ssp119 (medium confidence),17,2070,0.174,39987.72,35596.3,1988.49,2402.94,1770.65
VU04,Malampa,ssp119 (medium confidence),17,2080,0.198,41598.7,37116.48,2049.46,2432.65,1778.95
VU04,Malampa,ssp119 (medium confidence),17,2090,0.229,44537.41,39935.93,2134.28,2466.86,1786.84
VU04,Malampa,ssp119 (medium confidence),17,2100,0.243,45891.33,41236.05,2172.86,2482.34,1792.18
VU04,Malampa,ssp119 (medium confidence),17,2110,0.266,48115.97,43371.67,2236.54,2507.68,1799.3
VU04,Malampa,ssp119 (medium confidence),17,2120,0.285,49953.84,45135.93,2289.24,2528.39,1806.75
VU04,Malampa,ssp119 (medium confidence),17,2130,0.302,51628.1,46744.43,2336.4,2547.31,1811.5
VU04,Malampa,ssp119 (medium confidence),17,2140,0.316,53194.45,48253.46,2377.84,2563.16,1817.47
VU04,Malampa,ssp119 (medium confidence),17,2150,0.33,54761.69,49762.75,2420.03,2578.98,1825.77
VU04,Malampa,ssp119 (medium confidence),50,2020,0.046,31977.49,28065.3,1668.8,2243.38,1732.39
VU04,Malampa,ssp119 (medium confidence),50,2030,0.084,34118.77,30066.06,1761.19,2291.57,1740.41
VU04,Malampa,ssp119 (medium confidence),50,2040,0.124,36631.14,32428.82,1860.92,2341.27,1748.57
VU04,Malampa,ssp119 (medium confidence),50,2050,0.174,39987.72,35596.3,1988.49,2402.94,1770.65
VU04,Malampa,ssp119 (medium confidence),50,2060,0.208,42506.02,37986.09,2076.1,2443.84,1779.75
VU04,Malampa,ssp119 (medium confidence),50,2070,0.257,47245.44,42535.92,2211.85,2497.74,1796.51
VU04,Malampa,ssp119 (medium confidence),50,2080,0.3,51404.44,46528.72,2330.72,2545.0,1811.5
VU04,Malampa,ssp119 (medium confidence),50,2090,0.349,56887.94,51810.9,2476.66,2600.65,1835.34
VU04,Malampa,ssp119 (medium confidence),50,2100,0.404,63134.2,57829.79,2641.28,2663.14,1861.4
VU04,Malampa,ssp119 (medium confidence),50,2110,0.456,70146.77,64607.22,2807.67,2731.9,1902.61
VU04,Malampa,ssp119 (medium confidence),50,2120,0.496,75540.63,69820.77,2935.42,2784.45,1943.27
VU04,Malampa,ssp119 (medium confidence),50,2130,0.535,81698.14,75787.77,3071.15,2839.28,1960.52
VU04,Malampa,ssp119 (medium confidence),50,2140,0.572,87638.68,81544.7,3202.18,2891.82,1976.86
VU04,Malampa,ssp119 (medium confidence),50,2150,0.608,93585.43,87309.38,3331.15,2944.89,1993.76
VU04,Malampa,ssp119 (medium confidence),83,2020,0.07,33329.8,29329.06,1727.06,2273.68,1736.88
VU04,Malampa,ssp119 (medium confidence),83,2030,0.125,36698.27,32492.25,1863.49,2342.77,1749.41
VU04,Malampa,ssp119 (medium confidence),83,2040,0.183,40591.72,36166.31,2011.4,2414.06,1773.62
VU04,Malampa,ssp119 (medium confidence),83,2050,0.249,46471.62,41793.1,2189.63,2488.89,1793.94
VU04,Malampa,ssp119 (medium confidence),83,2060,0.305,51963.39,47067.83,2345.04,2550.63,1811.5
VU04,Malampa,ssp119 (medium confidence),83,2070,0.38,60357.44,55152.63,2569.26,2635.59,1850.56
VU04,Malampa,ssp119 (medium confidence),83,2080,0.449,69202.85,63694.94,2785.23,2722.71,1897.26
VU04,Malampa,ssp119 (medium confidence),83,2090,0.525,80092.48,74231.9,3035.49,2825.05,1955.68
VU04,Malampa,ssp119 (medium confidence),83,2100,0.617,95221.18,88893.89,3367.52,2959.76,1999.85
VU04,Malampa,ssp119 (medium confidence),83,2110,0.7,110297.03,103505.42,3695.18,3096.44,2057.78
VU04,Malampa,ssp119 (medium confidence),83,2120,0.77,126865.41,119628.48,4000.75,3235.87,2093.21
VU04,Malampa,ssp119 (medium confidence),83,2130,0.837,142724.69,135060.26,4294.51,3369.7,2127.53
VU04,Malampa,ssp119 (medium confidence),83,2140,0.902,158196.44,150117.13,4579.75,3499.56,2160.93
VU04,Malampa,ssp119 (medium confidence),83,2150,0.967,176414.91,167863.68,4906.11,3645.17,2181.98
VU04,Malampa,ssp119 (medium confidence),95,2020,0.089,34400.5,30329.14,1773.19,2297.85,1741.35
VU04,Malampa,ssp119 (medium confidence),95,2030,0.158,38913.26,34582.77,1947.44,2383.35,1760.13
VU04,Malampa,ssp119 (medium confidence),95,2040,0.232,44827.5,40214.72,2142.82,2470.07,1788.71
VU04,Malampa,ssp119 (medium confidence),95,2050,0.316,53194.45,48253.46,2377.84,2563.16,1817.47
VU04,Malampa,ssp119 (medium confidence),95,2060,0.391,61588.34,56338.27,2601.95,2648.12,1856.85
VU04,Malampa,ssp119 (medium confidence),95,2070,0.49,74731.32,69038.73,2916.29,2776.28,1938.29
