Asset,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed,Number_Damaged,Total_Number,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Water,1682,854,788,40,228285,294035,168,63,314,253,1,57,1048,4,634,0,0,0,0,0,0
School,0,0,0,0,0,0,246,0,470,470,0,0,0,0,0,0,0,0,0,0,0
Port,8602001,0,5558772,4970566,31853054,50583762,672,550,1265,715,0,23,1005,58,32569,277,1212002,191,7043038,1,313387
Airport,43137,0,40768,2369,11910553,34174449,9286,198,19449,19251,0,112,3708,82,35105,4,4324,0,0,0,0
Building,715988646,709767672,4365021,2357590,3411177604,8139082614,95843,87587,178520,91150,99,6948,304563,20382,9370836,41815,166512429,17782,445609828,443,94190891
Road,1768630,0,1344916,484389,410146517,647158009,222230,18947,440443,421496,0,15194,485829,3523,892409,230,390392,0,0,0,0
Evacuation Centre,0,0,0,0,0,0,562,0,563,563,0,0,0,0,0,0,0,0,0,0,0
Health Facility,0,0,0,0,0,0,83,0,136,136,0,0,0,0,0,0,0,0,0,0,0
Telecommunication,65956,60830,5126,0,1050000,3570000,10,6,34,28,0,0,0,3,587,1,5322,2,60047,0,0
Power,5122,5122,0,0,1333049,25618026,3,2,10,8,0,1,12,0,0,1,5110,0,0,0,0
Crop,393633,0,285616,114630,44009573,56705031,72198,2804,96832,94028,0,1926,25758,832,308381,46,59494,0,0,0,0
Bridge,18708,0,0,18708,1972010,5591873,56,1,116,115,0,0,0,0,0,0,0,1,18708,0,0
