Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp245 (medium confidence),50,2020,0.049,6009263.5,3960433.04,226147.35,458245.57,1364437.97,2103.13
National,ssp245 (medium confidence),50,2030,0.094,6537477.94,4333361.24,238654.65,492509.29,1472953.28,2127.9
National,ssp245 (medium confidence),50,2040,0.143,7212423.27,4816873.44,252694.2,534277.65,1608577.8,2323.06
National,ssp245 (medium confidence),50,2050,0.209,8158435.11,5498727.98,271744.03,591962.11,1796001.06,2375.92
National,ssp245 (medium confidence),50,2060,0.266,9088849.79,6175333.71,288600.7,648558.01,1976357.48,2589.03
National,ssp245 (medium confidence),50,2070,0.338,1.033897731E7,7098698.28,310212.38,724196.72,2205869.77,2812.43
National,ssp245 (medium confidence),50,2080,0.418,1.185388528E7,8235795.78,334682.66,815470.96,2467935.88,3007.57
National,ssp245 (medium confidence),50,2090,0.494,1.345000008E7,9456196.58,358360.17,910955.05,2724488.34,3143.25
National,ssp245 (medium confidence),50,2100,0.562,1.505739859E7,1.070401746E7,380555.8,1004648.64,2968176.6,3451.85
National,ssp245 (medium confidence),50,2110,0.643,1.713253936E7,1.23381835E7,408090.66,1124424.23,3261840.72,3772.96
National,ssp245 (medium confidence),50,2120,0.72,1.931823802E7,1.40922737E7,435615.63,1248146.32,3542202.61,4185.9
National,ssp245 (medium confidence),50,2130,0.796,2.17498394E7,1.608114837E7,464353.73,1386603.62,3817733.42,4452.08
National,ssp245 (medium confidence),50,2140,0.872,2.4179684E7,1.807002332E7,493072.65,1524129.51,4092458.59,4482.41
National,ssp245 (medium confidence),50,2150,0.946,2.6802156E7,2.025567544E7,522071.62,1669572.71,4354836.53,4889.63
