Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp245 (medium confidence),50,2020,0.049,1,0.6321,365,121,84,281,41830,13963,27867,47579939,238,52,7.7,42310,608013,299717,3658270,167,10677,93233,1,0,1,51939455,394533,350,229,15,9,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2020,0.049,5,0.1813,3506,2238,818,2688,8057216,2640229,5416986,344247328,4667,996,66.09,948278,8445746,2937387,21908345,818,505903,897690,7,0,14,375499109,12448783,1707,2816,1006,1095,486,559,300,197,7,0
National,ssp245 (medium confidence),50,2020,0.049,10,0.0952,3871,2558,899,2972,10263470,3438955,6824515,370002326,5164,1104,74.28,1149687,9876044,3315199,24244408,921,571633,953039,8,0,14,405075818,15299990,1759,2725,1142,1471,589,680,326,264,55,24
National,ssp245 (medium confidence),50,2020,0.049,25,0.0392,4371,2981,1002,3369,13466199,4583296,8882903,404268588,5888,1261,84.86,1446772,12042840,3780842,28242840,1038,654270,1048445,11,0,15,445602712,19348083,1865,2775,1322,1937,695,720,348,372,141,84
National,ssp245 (medium confidence),50,2020,0.049,50,0.0198,4819,3322,1088,3731,16031666,5417253,10614413,431404030,6511,1397,92.75,1700186,13419564,4113187,30150741,1116,714268,1113839,11,0,17,476088174,22559307,1992,2911,1445,2199,804,823,386,443,192,136
National,ssp245 (medium confidence),50,2020,0.049,100,0.01,5285,3698,1178,4107,19023872,6335474,12688398,459369183,7106,1527,101.35,1993371,15018754,4468391,33588661,1232,777729,1185671,11,0,17,509162268,26263363,2114,2990,1600,2411,878,1000,432,475,261,231
National,ssp245 (medium confidence),50,2020,0.049,250,0.004,6086,4258,1362,4724,23828395,7707094,16121301,503981455,8079,1738,114.65,2477822,17619791,4986395,35968039,1330,868317,1301291,15,0,17,558870577,32160928,2367,3083,1792,2778,1058,1322,526,527,343,369
National,ssp245 (medium confidence),50,2030,0.094,1,0.6321,369,121,84,285,70521,23710,46811,48043754,238,52,7.89,49221,621860,350153,3709721,171,13934,96677,1,0,1,52472011,483828,325,224,44,14,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2030,0.094,5,0.1813,3535,2238,826,2709,8825743,2904854,5920889,346060778,4731,1010,66.85,1021143,8606687,3159386,21944641,822,534541,903347,7,0,14,377515453,13540812,1610,2698,1051,1198,542,608,311,221,21,6
National,ssp245 (medium confidence),50,2030,0.094,10,0.0952,3900,2558,904,2996,11231468,3784724,7446744,372358963,5223,1117,74.87,1233180,9994485,3558368,24529970,931,600914,956975,8,0,14,407840392,16623930,1655,2590,1216,1570,620,738,329,301,80,24
National,ssp245 (medium confidence),50,2030,0.094,25,0.0392,4410,2981,1011,3399,14658256,5010153,9648103,406041421,5933,1271,85.67,1545264,12166738,4057356,28430913,1043,683898,1052381,11,0,15,447691453,20944773,1742,2599,1394,2072,737,740,368,409,169,112
National,ssp245 (medium confidence),50,2030,0.094,50,0.0198,4866,3322,1095,3771,17425493,5892726,11532768,433885163,6573,1410,93.45,1807679,13546410,4419101,30635518,1123,744204,1121219,11,0,17,479188310,24396478,1901,2734,1500,2280,835,910,406,472,224,178
National,ssp245 (medium confidence),50,2030,0.094,100,0.01,5327,3698,1187,4140,20633899,6888175,13745724,460918251,7157,1538,102.19,2112990,15164729,4812076,33843142,1237,808014,1194527,11,0,17,511120650,28366979,2010,2785,1638,2502,925,1114,467,497,287,260
National,ssp245 (medium confidence),50,2030,0.094,250,0.004,6147,4258,1368,4779,25737578,8344710,17392868,506669577,8135,1750,115.47,2618630,17830039,5367568,36522739,1340,898544,1309163,15,0,17,562331518,34622321,2263,2877,1810,2907,1138,1381,557,563,379,407
National,ssp245 (medium confidence),50,2040,0.143,1,0.6321,431,184,97,334,116915,38616,78299,55519624,341,74,8.96,57551,709689,408759,4098601,199,18374,118325,2,0,2,60446238,601600,341,289,90,51,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2040,0.143,5,0.1813,3837,2536,891,2946,9840572,3260748,6579824,366785273,5098,1090,73.68,1110488,9979768,3438905,26119309,927,566474,949103,9,0,14,403833453,14956439,1750,2800,1135,1383,586,652,326,243,40,19
National,ssp245 (medium confidence),50,2040,0.143,10,0.0952,4225,2874,969,3256,12447781,4221739,8226041,394440509,5737,1227,81.77,1334150,11524879,3871867,28521201,1026,633109,1016957,11,0,15,435503546,18286907,1833,2814,1280,1813,660,737,340,326,112,47
National,ssp245 (medium confidence),50,2040,0.143,25,0.0392,4805,3333,1079,3726,16164028,5528927,10635100,438065375,6424,1378,92.88,1664531,13777422,4406026,31166222,1114,715976,1115315,11,0,16,484124335,22950560,1992,2821,1438,2208,795,828,382,424,198,144
National,ssp245 (medium confidence),50,2040,0.143,50,0.0198,5249,3668,1171,4078,19169363,6496652,12672711,463528817,7112,1527,101.03,1938824,15255556,4801819,34357271,1226,776699,1187147,11,0,17,514328791,26686705,2120,2974,1560,2446,872,984,445,513,252,196
National,ssp245 (medium confidence),50,2040,0.143,100,0.01,5715,4063,1264,4451,22620854,7565232,15055622,494756118,7814,1678,109.95,2257805,16877417,5224249,36581012,1300,840875,1258979,13,0,17,549473526,30943783,2201,3145,1700,2642,998,1204,496,511,320,312
National,ssp245 (medium confidence),50,2040,0.143,250,0.004,6633,4687,1482,5151,28063300,9119475,18943825,542865072,8896,1914,123.62,2786784,19763683,5812574,39322817,1419,932192,1373573,16,0,17,603325145,37594850,2567,3379,1832,2914,1218,1524,593,621,423,459
National,ssp245 (medium confidence),50,2050,0.209,1,0.6321,442,226,98,344,184103,60204,123900,55970991,349,76,9.24,68968,740777,486623,4122448,201,24775,123737,2,0,2,60957953,764470,311,276,131,73,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2050,0.209,5,0.1813,3918,2831,909,3009,11276321,3766434,7509887,372949670,5226,1117,75.37,1233923,10326051,3828722,26877316,952,609635,962837,9,0,14,411115874,16948600,1641,2551,1233,1598,625,757,337,296,82,24
National,ssp245 (medium confidence),50,2050,0.209,10,0.0952,4314,3216,993,3321,14154770,4832939,9321831,400091055,5825,1246,83.63,1474114,12004576,4305536,28844536,1037,676482,1037087,11,0,15,441977255,20610902,1724,2551,1351,2014,717,803,363,359,159,98
National,ssp245 (medium confidence),50,2050,0.209,25,0.0392,4916,3676,1108,3808,18279363,6256343,12023020,445978231,6583,1412,94.67,1828695,14132981,4884053,31641591,1126,759159,1131551,11,0,17,492884353,25751269,1885,2591,1499,2418,878,918,418,494,236,163
National,ssp245 (medium confidence),50,2050,0.209,50,0.0198,5346,4044,1193,4153,21611153,7342884,14268269,474073724,7255,1557,102.98,2119891,15708065,5330487,35071905,1240,820501,1203875,11,0,17,526057570,29882032,1987,2783,1615,2557,965,1125,477,546,302,244
National,ssp245 (medium confidence),50,2050,0.209,100,0.01,5830,4473,1287,4543,25392222,8510634,16881589,501394626,7968,1711,111.89,2457433,17376474,5788602,37181280,1324,885233,1277633,13,0,17,557230013,34523491,2087,2913,1724,2780,1105,1346,536,572,378,357
National,ssp245 (medium confidence),50,2050,0.209,250,0.004,6762,5148,1511,5251,31307573,10200209,21107363,552008738,9060,1950,125.85,3018338,20200627,6414802,39645387,1426,978034,1394974,16,0,17,613249726,41718747,2454,3182,1842,2956,1330,1757,651,661,485,504
National,ssp245 (medium confidence),50,2060,0.266,1,0.6321,502,226,104,398,252247,82692,169555,63537870,434,94,10.4,79962,883472,548089,4352134,210,31769,155717,2,0,2,68929193,912068,339,356,163,77,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2060,0.266,5,0.1813,4233,2831,969,3264,12709825,4277469,8432356,398860864,5684,1216,81.81,1355101,11760465,4219150,29174303,1027,647066,1023353,11,0,15,440818985,18931141,1788,2671,1307,1843,674,776,341,353,123,41
National,ssp245 (medium confidence),50,2060,0.266,10,0.0952,4675,3216,1062,3613,15837884,5422012,10415872,429781758,6258,1341,91.08,1613717,13658467,4720638,31460913,1099,713831,1098587,11,0,15,475999726,22886069,1912,2671,1398,2227,793,836,379,390,193,135
National,ssp245 (medium confidence),50,2060,0.266,25,0.0392,5279,3676,1185,4094,20369376,6985831,13383545,470048677,7196,1544,102.09,1988057,15746591,5342949,35427543,1225,796739,1204120,11,0,17,522426931,28497121,2059,2935,1555,2493,925,1051,466,523,274,195
National,ssp245 (medium confidence),50,2060,0.266,50,0.0198,5747,4044,1274,4473,23995647,8164413,15831234,507765776,7841,1684,110.3,2295256,17349648,5816860,37609252,1307,858805,1269514,13,0,17,563994191,32966568,2170,3030,1666,2679,1052,1273,518,583,341,277
National,ssp245 (medium confidence),50,2060,0.266,100,0.01,6327,4473,1413,4914,28065278,9432727,18632551,537457917,8472,1821,120.22,2652597,19542006,6304339,40049983,1400,924386,1349218,14,0,17,598399124,37946600,2392,3105,1720,2815,1214,1559,586,585,415,409
National,ssp245 (medium confidence),50,2060,0.266,250,0.004,7306,5148,1631,5675,34466492,11254172,23212319,593943743,9715,2092,134.48,3241017,22281909,6946637,41781911,1499,1019878,1455982,18,0,22,659463546,45674023,2741,3606,1924,2920,1385,1922,721,717,535,549
National,ssp245 (medium confidence),50,2070,0.338,1,0.6321,579,305,122,457,350166,113541,236626,69847801,509,110,12.07,94550,1028288,623434,4790666,232,41796,196553,2,0,5,75863307,1109947,380,390,199,120,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2070,0.338,5,0.1813,4582,3207,1034,3548,14655367,4967143,9688225,424689307,6158,1318,89.42,1518127,13501122,4718929,31235217,1086,694453,1093912,11,0,15,470519558,21586876,1925,2782,1378,2101,743,815,360,350,176,110
National,ssp245 (medium confidence),50,2070,0.338,10,0.0952,5071,3564,1145,3926,18166286,6227777,11938508,462012225,6810,1460,98.08,1798744,15077647,5248036,33787823,1159,760667,1172632,11,0,17,512050327,25973732,2063,2800,1492,2472,855,902,424,479,237,157
National,ssp245 (medium confidence),50,2070,0.338,25,0.0392,5706,4050,1271,4435,23224922,7978814,15246108,505395224,7774,1669,109.84,2198909,17583520,5928146,37632403,1292,844723,1265578,11,0,17,561876725,32196700,2221,3106,1620,2615,1034,1205,511,597,320,252
National,ssp245 (medium confidence),50,2070,0.338,50,0.0198,6194,4463,1372,4822,27228323,9284718,17943605,539295406,8382,1800,119.41,2527982,19618846,6439005,40537382,1394,908025,1340362,14,0,17,600791996,37103335,2367,3169,1696,2726,1155,1500,578,623,398,365
National,ssp245 (medium confidence),50,2070,0.338,100,0.01,6807,4909,1514,5293,31697788,10680179,21017609,577025698,9121,1961,129.49,2912380,21684895,6953348,42539787,1475,974863,1416130,18,0,18,642666510,42538379,2571,3343,1802,2907,1292,1732,676,663,466,475
National,ssp245 (medium confidence),50,2070,0.338,250,0.004,7888,5656,1771,6117,38756768,12687280,26069488,628146750,10461,2253,143.57,3532569,24478125,7606611,43851365,1580,1073660,1517482,20,0,22,697993721,50969608,2994,3964,1999,2887,1501,2178,787,824,607,608
National,ssp245 (medium confidence),50,2080,0.418,1,0.6321,687,371,140,547,478795,152261,326534,77515738,614,132,13.54,112453,1151972,707721,5252658,245,54826,235421,2,0,7,84155790,1353795,442,472,245,142,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2080,0.418,5,0.1813,4899,3544,1107,3792,17048217,5803605,11244612,447819175,6553,1404,95.2,1715651,14583969,5290130,33126675,1138,746962,1146556,11,0,16,496676376,24800960,1989,2703,1461,2395,823,877,409,429,217,148
National,ssp245 (medium confidence),50,2080,0.418,10,0.0952,5426,3918,1220,4206,21048218,7218839,13829378,486389616,7285,1563,104.07,2019934,16489594,5856736,36968062,1245,812745,1223266,11,0,17,541070539,29737633,2126,2863,1567,2650,974,1024,469,549,290,198
National,ssp245 (medium confidence),50,2080,0.418,25,0.0392,6050,4438,1340,4710,26723967,9194735,17529232,535256503,8182,1756,117.27,2452583,19412264,6601092,40500344,1364,898931,1321174,13,0,17,596490285,36676573,2288,3096,1667,2653,1139,1464,573,667,383,300
National,ssp245 (medium confidence),50,2080,0.418,50,0.0198,6578,4888,1458,5120,31162196,10653775,20508421,567533836,8905,1913,126.62,2807312,21305815,7146458,42660853,1457,963846,1389562,17,0,18,632890066,42079811,2451,3323,1749,2739,1259,1742,658,653,461,448
National,ssp245 (medium confidence),50,2080,0.418,100,0.01,7176,5355,1594,5582,36141519,12196823,23944696,605503481,9664,2077,136.53,3223169,23403282,7678010,43959053,1527,1032325,1472218,18,0,21,674338034,48075023,2588,3510,1892,2803,1402,2007,747,777,547,568
National,ssp245 (medium confidence),50,2080,0.418,250,0.004,8299,6179,1895,6404,43975147,14428707,29546440,650533159,11086,2387,151.35,3875581,26111173,8329049,45427502,1655,1134312,1575046,20,0,23,723646880,57314089,3028,4040,2070,2875,1639,2513,864,953,698,704
National,ssp245 (medium confidence),50,2090,0.494,1,0.6321,745,371,156,589,627350,195638,431712,83417976,654,141,14.96,132501,1256904,794544,5419662,257,69477,260021,2,0,8,90354563,1623872,445,474,292,171,8,9,0,0,0,0
National,ssp245 (medium confidence),50,2090,0.494,5,0.1813,5106,3544,1157,3949,19639229,6684176,12955053,465442132,6848,1468,99.15,1922121,15487230,5841627,33946731,1158,796004,1181488,11,0,16,516057580,28198981,1916,2572,1538,2644,933,941,450,516,269,175
National,ssp245 (medium confidence),50,2090,0.494,10,0.0952,5630,3918,1260,4370,24092464,8273092,15819372,500963170,7619,1634,108.79,2249366,17737957,6470294,38275157,1280,863348,1250818,11,0,17,558227101,33675471,2066,2883,1620,2608,1055,1271,551,616,338,241
National,ssp245 (medium confidence),50,2090,0.494,25,0.0392,6282,4438,1398,4884,30414371,10485655,19928716,555193144,8539,1832,121.31,2718500,20324687,7267042,41807953,1412,951578,1352662,15,0,18,618678446,41351491,2227,3050,1733,2709,1240,1688,637,707,445,385
National,ssp245 (medium confidence),50,2090,0.494,50,0.0198,6810,4888,1519,5291,35300612,12092373,23208239,582176498,9225,1981,130.91,3099430,22301801,7838732,43930747,1498,1017779,1423018,17,0,20,649832064,47256554,2371,3246,1808,2749,1375,1981,732,720,524,528
National,ssp245 (medium confidence),50,2090,0.494,100,0.01,7445,5355,1661,5784,40863995,13795900,27068095,619989854,10084,2167,141.07,3541202,24337680,8369455,44818737,1574,1088024,1504198,19,0,22,690650469,53862675,2543,3482,1943,2775,1511,2333,821,840,627,654
National,ssp245 (medium confidence),50,2090,0.494,250,0.004,8555,6179,1951,6604,49433574,16239782,33193792,665192162,11414,2459,156.44,4223409,27075874,8995328,45703354,1695,1191779,1614406,21,0,23,739585796,63844091,2910,3873,2113,2905,1772,2670,971,1154,789,811
National,ssp245 (medium confidence),50,2100,0.562,1,0.6321,896,439,186,710,794003,245105,548898,97471266,833,179,18.18,154160,1590959,880934,6334115,300,85598,318077,3,0,10,105714418,1914695,544,603,332,220,20,9,0,0,0,0
National,ssp245 (medium confidence),50,2100,0.562,5,0.1813,5566,3900,1244,4322,22280414,7589322,14691092,498899035,7503,1608,107.6,2123610,17577185,6376740,38518291,1268,840595,1245406,11,0,17,556239917,31621359,2123,2924,1611,2662,1008,1138,506,577,318,202
National,ssp245 (medium confidence),50,2100,0.562,10,0.0952,6061,4303,1354,4707,27238485,9367222,17871263,532955366,8266,1773,117.67,2476793,19754060,7043817,41456944,1372,909849,1322158,14,0,18,595488529,37668945,2253,3160,1660,2624,1155,1485,607,705,386,292
National,ssp245 (medium confidence),50,2100,0.562,25,0.0392,6760,4901,1503,5257,34146550,11787308,22359243,587164704,9167,1967,130.8,2975930,22270321,7868653,44039006,1498,999785,1423018,17,0,20,654897049,45990919,2454,3349,1752,2672,1347,1945,708,724,499,476
National,ssp245 (medium confidence),50,2100,0.562,50,0.0198,7321,5328,1642,5679,39530548,13530756,25999792,619130298,9976,2141,140.8,3382443,24433221,8433947,44942046,1573,1066932,1500754,19,0,22,690006319,52413869,2582,3544,1867,2780,1464,2207,812,842,596,603
National,ssp245 (medium confidence),50,2100,0.562,100,0.01,8023,5813,1796,6227,45585584,15377815,30207770,649908059,10854,2332,150.76,3844986,26298155,8947331,45712224,1659,1138596,1573528,20,0,23,723491966,59516498,2818,3838,1984,2810,1615,2464,903,1020,703,720
National,ssp245 (medium confidence),50,2100,0.562,250,0.004,9058,6749,2059,6999,54854376,18033402,36820974,692710424,12231,2636,166.82,4555730,29305445,9549610,46788069,1802,1242214,1699972,22,0,24,770503910,70201929,3079,4261,2203,2900,1812,2808,1073,1342,891,920
National,ssp245 (medium confidence),50,2110,0.643,1,0.6321,1056,510,214,842,1018276,311867,706409,111693237,1045,225,22.04,183824,1922293,988980,6709516,329,107656,374657,3,0,10,120699703,2298737,648,725,318,268,90,51,0,0,0,0
National,ssp245 (medium confidence),50,2110,0.643,5,0.1813,6004,4294,1347,4657,25763207,8782647,16980560,531610138,8166,1751,116.49,2381547,19590881,7027528,41014215,1354,895002,1311334,12,0,18,593526568,36067284,2298,3259,1619,2609,1135,1383,586,652,366,263
National,ssp245 (medium confidence),50,2110,0.643,10,0.0952,6521,4727,1453,5068,31318906,10787087,20531819,569632078,8909,1910,127.13,2765224,21599858,7727754,43313151,1455,966428,1393498,17,0,20,635938585,42778312,2422,3333,1707,2653,1280,1813,660,737,452,373
National,ssp245 (medium confidence),50,2110,0.643,25,0.0392,7229,5332,1624,5605,38996711,13458847,25537864,615210027,9910,2127,140.52,3301760,24400342,8567542,44740951,1570,1057559,1502188,19,0,22,685853508,51923573,2590,3665,1826,2646,1438,2203,795,828,580,568
National,ssp245 (medium confidence),50,2110,0.643,50,0.0198,7833,5807,1759,6074,44990056,15377726,29612330,651213226,10700,2298,150.4,3737706,26468845,9118539,45718153,1674,1126051,1579924,21,0,23,724980148,58972352,2730,3839,1974,2728,1560,2441,872,984,697,709
National,ssp245 (medium confidence),50,2110,0.643,100,0.01,8593,6387,1927,6666,51640725,17403309,34237416,687367328,11652,2505,161.19,4224240,28399717,9606005,45851589,1748,1198732,1647286,21,0,23,763265921,66669702,3019,4099,2061,2883,1699,2642,999,1204,815,823
National,ssp245 (medium confidence),50,2110,0.643,250,0.004,9580,7371,2169,7411,61761478,20314002,41447477,736046423,12913,2784,177.82,4968069,31709388,10187624,46969673,1892,1302386,1783078,23,0,24,816508561,78219556,3146,4290,2370,3106,1830,2914,1219,1524,1015,1080
National,ssp245 (medium confidence),50,2120,0.72,1,0.6321,1300,759,272,1028,1263499,385411,878088,135528813,1284,274,27.12,217225,2410686,1097259,7091534,365,132569,452351,3,0,12,145483383,2710551,847,916,314,295,139,73,0,0,0,0
National,ssp245 (medium confidence),50,2120,0.72,5,0.1813,6607,5135,1480,5127,29527649,10073966,19453683,576146567,8999,1929,129.0,2648038,21989083,7655742,43316018,1463,948114,1410226,17,0,21,642861894,40779543,2626,3650,1676,2614,1239,1649,641,757,425,329
