Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,369855.47,118599.5,140865.08,100597.45,9793.46,646.92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,397827.99,132476.92,148576.51,106582.01,10192.54,658.46
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,431640.7,150250.21,157202.72,113448.89,10738.68,730.53
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,478568.2,175406.74,168882.2,122783.14,11496.25,748.09
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,523698.34,201052.69,179119.76,131345.56,12180.35,832.63
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,585400.93,237739.03,192208.71,142390.97,13062.4,909.91
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,661566.72,285233.64,207000.63,155258.59,14073.84,973.89
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,743358.75,338421.59,221336.54,168509.47,15091.11,1024.59
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,826080.54,393765.1,234876.59,181429.46,16009.51,1119.3
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,933690.81,466903.3,251748.44,197910.18,17129.12,1237.97
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,1050033.27,548147.2,268736.68,214840.97,18308.7,1367.52
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,1186730.68,646360.74,286664.82,233465.72,20239.66,1447.65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,1323198.45,744574.4,304581.29,251974.89,22068.16,1458.52
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,1478918.24,860353.78,322953.9,271269.19,24341.6,1587.4
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,30754.25,16842.62,2825.91,1046.98,10038.24,9.53
VUT.2_1,Penama,ssp245 (medium confidence),50,2030,0.094,32734.88,18285.98,2937.31,1091.15,10420.23,9.53
VUT.2_1,Penama,ssp245 (medium confidence),50,2040,0.143,35162.23,20107.76,3057.25,1144.89,10852.27,13.07
VUT.2_1,Penama,ssp245 (medium confidence),50,2050,0.209,38657.28,22778.02,3224.18,1218.98,11436.61,14.41
VUT.2_1,Penama,ssp245 (medium confidence),50,2060,0.266,42633.4,26010.11,3398.65,1290.7,11934.02,17.06
VUT.2_1,Penama,ssp245 (medium confidence),50,2070,0.338,47822.77,30230.85,3665.15,1389.9,12537.28,17.52
VUT.2_1,Penama,ssp245 (medium confidence),50,2080,0.418,53853.56,35153.54,4014.06,1516.66,13168.81,19.1
VUT.2_1,Penama,ssp245 (medium confidence),50,2090,0.494,59904.76,40142.5,4369.08,1668.7,13724.53,19.1
VUT.2_1,Penama,ssp245 (medium confidence),50,2100,0.562,65782.4,45036.28,4691.04,1892.91,14162.39,19.73
VUT.2_1,Penama,ssp245 (medium confidence),50,2110,0.643,73297.66,51219.69,5113.72,2296.92,14667.35,20.37
